NQUEST;Y;YL;YL1;YL2;YT;YTP;YTP1;YTP2;YTA;YTA1;YTA11;YTA12;YTA2;YTA3;YTA31;YTA32;YTA4;YTA5;YM;YC;YCA;YCA1;YCA2;YCF;YCF1;YCF2;YCF3;YCF4;CLY;CLY2
930726;73.757.610.331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54000;19.757.610.331;14400;0;14400;53.576.103.305;15.494.351.361;0;53.421.159.792;0;10;5
930732;75.270.683.205;50100;50100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.170.683.205;21000;0;21000;41.706.832.047;14.874.577.307;0;41.558.086.274;0;10;5
930743;91.095.177.459;16000;16000;0;54600;54600;54600;0;0;0;0;0;0;0;0;0;0;0;0;20.495.177.459;18000;0;18000;24.951.774.586;18.502.900.454;3.914.921.548;20.851.824.034;0;10;5
930749;27.468.100.779;21000;21000;0;600;0;0;0;600;0;0;0;0;0;0;0;600;0;220000;33.081.007.788;18900;0;18900;14.181.007.788;50.055.923.453;46.095.359.605;13.669.998.269;0;10;5
930753;17.876.098.749;156000;150000;6000;4550;4550;4550;0;0;0;0;0;0;0;0;0;0;0;0;18.210.987.494;10800;0;10800;74.109.874.935;23.344.654.629;2.325.123.398;48.524.175.493;0;10;5
930757;8.243.702.522;0;0;0;49400;49400;49400;0;0;0;0;0;0;0;0;0;0;0;0;3.303.702.522;14520;0;14520;1.851.702.522;12.894.552.829;10.009.669.795;16.226.602.957;0;10;5
930759;41.624.436.841;12000;12000;0;26000;26000;26000;0;0;0;0;0;0;0;0;0;0;0;0;36.244.368.415;3600;0;3600;24.436.841.488;24.436.841.488;0;0;0;8;4
930770;30.501.702.148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.501.702.148;3000;0;3000;50.170.214.775;50.170.214.775;0;0;0;1;1
930775;75.582.042.748;0;0;0;1200;0;0;0;1200;0;0;0;0;0;0;0;1200;0;65.982.042.748;8400;8400;0;8400;0;0;0;0;0;10;5
930776;23.260.779.408;23000;23000;0;250;0;0;0;250;0;0;0;0;0;0;0;250;0;0;1.077.940.754;0;0;0;1.077.940.754;1.077.940.754;0;0;0;4;2
930784;19.177.821.603;0;0;0;104000;104000;104000;0;0;0;0;0;0;0;0;0;0;0;65000;2.277.821.603;17300;2000;15300;54.782.160.298;27.838.669.458;51.837.169.662;21.759.773.873;0;10;5
930793;53.550.258.215;0;0;0;40454;25454;25454;0;15000;0;0;0;15000;0;0;0;0;0;0;13.096.258.215;12600;0;12600;49.625.821.545;36.378.550.422;0;13.247.271.123;0;9;5
930795;63.909.774.748;46000;40000;6000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.909.774.748;1.633.191.824;0;1.633.191.824;15.778.565.085;8.204.745.541;21.752.974.969;14.740.560.782;0;9;5
930804;1.500.774.572;0;0;0;15000;15000;15000;0;0;0;0;0;0;0;0;0;0;0;0;77.457.195.893;0;0;0;77.457.195.893;77.457.195.893;0;0;0;2;1
930806;56.822.071.933;24000;24000;0;800;0;0;0;800;0;0;0;0;0;0;0;800;0;2000;30.022.071.933;30000;0;30000;22.071.932.657;22.071.932.657;0;0;0;9;5
930831;21.021.947.104;12000;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;60.219.471.043;6000;0;6000;21.947.104.302;21.947.104.302;0;0;0;4;2
930845;43.201.977.405;0;0;0;5140;2340;2340;0;2800;600;0;600;0;0;0;0;2200;0;20000;18.061.977.405;18000;0;18000;61.977.405.444;61.977.405.444;0;0;0;8;4
930846;33.421.747.759;0;0;0;26800;28600;28600;0;-1800;0;0;0;0;-1800;0;1800;0;0;0;66.217.477.591;6000;0;6000;62.174.775.907;44.643.721.771;74.587.725.049;10.072.281.631;0;6;3
930862;20.541.022.682;0;0;0;16900;16900;16900;0;0;0;0;0;0;0;0;0;0;0;0;36.410.226.824;3600;0;3600;41.022.682.426;41.022.682.426;0;0;0;4;2
930864;64.435.343.577;20000;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36000;84.353.435.766;8400;0;8400;35.343.576.631;35.343.576.631;0;0;0;9;5
930865;25.674.581.924;12000;12000;0;9425;9425;9425;0;0;0;0;0;0;0;0;0;0;0;0;42.495.819.244;4200;0;4200;49.581.924.355;49.581.924.355;0;0;0;5;3
930885;1.200.209.887;0;0;0;11999;11999;11999;0;0;0;0;0;0;0;0;0;0;0;0;30.988.702.722;0;0;0;30.988.702.722;30.988.702.722;0;0;0;2;1
930886;39.465.315.634;0;0;0;33020;33020;33020;0;0;0;0;0;0;0;0;0;0;0;0;64.453.156.336;6000;0;6000;44.531.563.356;46.483.054.083;46.617.328.155;394.05;0;7;4
930888;11.494.415.455;0;0;0;63180;63180;63180;0;0;0;0;0;0;0;0;0;0;0;0;51.764.154.549;13400;0;13400;38.364.154.549;25.482.287.066;0;35.815.925.843;0;10;5
930901;43.300.177.288;0;0;0;22100;22100;22100;0;0;0;0;0;0;0;0;0;0;0;1500;19.700.177.288;18400;13500;4900;13.001.772.881;26.340.397.314;0;10.367.733.149;0;8;4
930914;42.657.747.176;19150;19000;150;18100;16900;16900;0;1200;0;0;0;0;0;0;0;1200;0;0;54.077.471.757;5400;0;5400;77.471.756.805;77.471.756.805;0;0;0;8;4
930938;62.286.847.027;43500;43500;0;2450;0;0;0;2450;250;0;250;0;0;0;0;2200;0;3000;13.336.847.027;12816.8;0;12816.8;52.004.702.722;30.988.702.722;0;210.16;0;9;5
930940;78.450.255.619;20000;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;84.502.556.185;8400;0;8400;50.255.618.538;50.255.618.538;0;0;0;10;5
