NQUEST,NORD,NORDP,NESPLAV,EXLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,ETALAV2,LAVFATT1,LAVFATT2,LAVFATT3,LAVFATT4,LAVFATT5,LAVFATT6,LAVFATT7,ETAPEN,COPPU,PREVCOM,ANPREVCOM,MPREVCOM1,MPREVCOM,COPPIP,DOCSEZB,ETA,maxan
27930,1,1,2,1,18,1,45,,,,,,,,,,,,,,,,,2,77,64
27930,2,2,1,,28,1,32,,,,,,,,,,,,,,,,,2,72,49
27947,1,1,1,,18,1,32,,,,,,,,,,,,,,,,,2,77,64
27947,2,2,0,,,,,,,,,,,,,,,,,,,,,2,78,
28100,1,1,2,1,20,1,35,,35,1,2,4,6,7,3,5,60,60,1,2008,1,,60,2,55,40
28100,2,2,1,,33,1,5,,,,,,,,,,,,,,,,,2,50,22
28100,3,3,0,,,,,,,,,,,,,,,,,,,,,2,27,
28100,4,4,0,,,,,,,,,,,,,,,,,,,,,2,27,
28100,5,5,0,,,,,,,,,,,,,,,,,,,,,2,21,
28100,6,6,,,,,,,,,,,,,,,,,,,,,,2,7,
28221,1,1,1,,24,1,40,,,,,,,,,,,,,,,,,2,81,62
28331,1,1,2,3,10,1,35,,,,,,,,,,,,,,,,,2,95,90
28346,1,1,2,1,15,1,15,,,,,,,,,,,,,,,,,2,80,70
28362,1,1,1,,24,1,37,,,,,,,,,,,,,,,,,2,82,63
28441,1,1,2,1,27,1,35,,40,1,4,5,3,6,7,2,61,80,2,,,,,2,60,38
28441,2,2,1,,18,1,10,,,,,,,,,,,,,,,,,2,52,39
28802,1,1,1,,21,1,29,,,1,5,6,3,4,2,7,65,70,,,,,,2,50,34
28802,2,2,1,,19,1,35,,,,,,,,,,,,1,2009,1,,,2,54,40
28802,3,4,,,,,,,,,,,,,,,,,,,,,,2,14,
28859,1,1,1,,25,1,40,,,,,,,,,,,,,,,,,2,80,60
28859,2,2,1,,20,1,42,,,,,,,,,,,,,,,,,2,82,67
28897,1,1,1,,17,1,35,,,,,,,,,,,,,,,,,2,59,47
28920,1,1,4,1,18,1,40,,,,,,,,,,,,,,,,,2,90,77
28992,1,1,3,3,21,1,36,,53,6,1,2,5,3,7,4,80,80,,,,,,1,79,63
28992,2,2,1,,40,2,,,,,,,,,,,,,,,,,,1,69,34
29006,1,1,6,3,18,1,37,,65,2,3,5,6,1,4,7,70,80,,,,,,1,66,53
29006,2,2,3,3,14,1,20,,,,,,,,,,,,,,,,,1,64,55
29140,1,1,4,1,14,1,40,,,,,,,,,,,,,,,,,2,61,52
29140,2,2,2,3,14,1,38,,36,2,3,4,1,5,6,7,61,70,3,,,,,2,58,49
29140,3,3,1,,19,1,8,,,1,2,4,3,5,6,7,60,60,,,,,,2,27,13
29280,1,1,2,3,30,1,28,,30,2,1,4,5,6,7,3,65,60,,,,,,2,60,35
29280,2,2,1,,20,1,33,,,3,1,5,6,4,2,7,62,80,2,,,,,2,60,45
29280,3,3,0,,,,,,,,,,,,,,,,,,,,,2,24,
29286,1,1,3,3,14,1,27,,,,,,,,,,,,,,,,,2,81,72
29288,1,1,1,,20,1,18,,,4,3,1,5,7,6,2,65,50,,,,,,2,40,25
29288,2,2,0,,,,,,,,,,,,,,,,,,,,,2,32,
29288,3,3,,,,,,,,,,,,,,,,,,,,,,2,6,
29288,4,4,,,,,,,,,,,,,,,,,,,,,,2,2,
29678,1,1,1,,26,1,36,,,,,,,,,,,,,,,,,2,77,56
29678,2,2,0,,,,,,,,,,,,,,,,,,,,,2,73,
29680,1,1,1,,20,1,25,,,1,5,7,2,3,4,6,65,60,2,,,,,2,46,31
29680,2,2,0,,,,,,,,,,,,,,,,,,,,,2,40,
29680,3,3,0,,,,,,,,,,,,,,,,,,,,,2,20,
29680,4,4,0,,,,,,,,,,,,,,,,,,,,,2,16,
29684,1,1,3,3,25,1,32,,26,3,7,1,2,4,5,6,65,80,2,,,,,2,57,37
29684,2,2,1,,22,1,35,,,2,5,1,3,7,6,4,60,80,2,,,,,2,57,40
29684,3,3,0,,,,,,,,,,,,,,,,,,,,,2,28,
29684,4,4,0,,,,,,,,,,,,,,,,,,,,,2,25,
29737,1,1,1,,33,1,25,,,6,2,1,7,3,4,5,65,60,2,,,,,2,59,31
29737,2,2,1,,24,1,32,,,6,2,1,7,3,4,5,61,70,2,,,,,2,57,38
29742,1,1,10,3,9,1,34,,49,1,5,3,4,7,6,2,65,70,,,,,,2,58,54
29742,2,2,1,,20,1,36,,,,,,,,,,,,2,,,,,2,56,41
29742,3,3,0,,,,,,,,,,,,,,,,,,,,,2,35,
29742,4,4,0,,,,,,,,,,,,,,,,,,,,,2,24,
29774,1,1,0,,,,,,,,,,,,,,,,,,,,,2,84,
29798,1,1,2,1,14,1,45,,,,,,,,,,,,,,,,,2,75,66
