NQUEST,NORD,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,NORDP,MOTENT,APQUAL,ASNONOC,NACE,MOTIV,ANNOENUS,TIPOLAU,TIPODIP,NASCREG,NASCAREA,IREG,NCOMP,ETA,CLETA,CLETA5,QUAL,Q,APSETT,SETT,CFRED,PERC,NPERC,AREA3,AREA5,ACOM4C,pesofit
866073,1,1,1,1971,1,,2,1,4,,,,,,,,1,,3,,,,,3,1,3,2,39,2,2,1,1,3,2,1,1,1,1,1,1,1.8690579652
866073,2,2,2,1971,1,,2,1,3,,,,,,,,13,,,,,,,7,1,3,2,39,2,2,7,3,,5,0,0,1,1,1,1,1.8690579652
866075,1,1,1,1961,1,,2,1,5,37,60,2,1981,2,,,4,,13,,,,2,3,1,3,4,49,3,3,3,1,13,4,1,1,2,1,1,1,1.6200119979
866075,2,2,2,1966,1,,1,1,5,40,60,2,1985,2,,,2,,7,,,,5,3,1,3,4,44,3,2,2,1,7,4,0,1,2,1,1,1,1.6200119979
866075,3,2,6,1996,1,,1,2,3,,,,,,,,17,,,,,,,3,1,3,4,14,1,1,7,3,,5,0,0,2,1,1,1,1.6200119979
866075,4,1,6,2001,1,,1,2,1,,,,,,,,17,,,,,,,3,1,3,4,9,1,1,7,3,,5,0,0,2,1,1,1,1.6200119979
866076,1,1,1,1974,1,,1,1,7,110,110,1,1998,,,,2,,7,,,1,3,3,1,3,4,36,2,2,2,1,7,4,1,1,2,1,1,1,1.7287300536
866076,2,2,2,1976,1,,1,1,7,107,110,2,2001,,,,4,,19,,,1,3,3,1,3,4,34,2,1,3,1,19,4,0,1,2,1,1,1,1.7287300536
866076,3,1,6,2006,1,,1,2,1,,,,,,,,18,,,,,,,3,1,3,4,4,1,1,7,3,,5,0,0,2,1,1,1,1.7287300536
866076,4,1,6,2010,1,,1,2,1,,,,,,,,18,,,,,,,3,1,3,4,0,1,1,7,3,,5,0,0,2,1,1,1,1.7287300536
866086,1,2,1,1922,1,,2,4,2,,,,,,,,16,,,,,,,3,1,3,1,88,5,5,6,3,,5,1,1,1,1,1,1,1.49349267
866088,1,1,1,1965,1,,2,1,7,105,110,2,1991,,,,5,,17,,,3,3,10,2,3,4,45,3,3,3,1,17,3,1,1,1,1,1,1,1.4683977623
