NQUEST,ANABIT,GODABIT,UNIPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS,IMPACQ,FITTONOP,TFITTONOP,TFITTO,TIPOAFF,DFITTOM,TFITTOM,PROPRIET,TFITIMP,UBIC1,SUPAB,ANCOSTR,BAGNI,VALABIT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,ANTIC,ANTICIPI,MANSTRA,TMANSTRA,MANSTR2,TMANSTR2,ENERGIA,TENERGIA,DEBITA1,NDEBITA1,DEBITA2,NDEBITA2,CHIFINCONS,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR,MUTUOE,FMUTRIF,MUTUORIF,REAPMUT,MUTUORIC,DOCSEZD,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,QUOPRO
24885,2001,2,,,,,,,,,,,,,,,,100,6,1,50,7,,3,50,1980,1,90000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
24924,1985,2,,,,,,,,,,,,,,,,340,2,2,,5,,2,90,1955,1,100000,2,,1,1,2,,2,,2,,2,,2,,,,,,2,,,,2,,2,,2,,,,,2,1,0,,0,,0,,0,,
24984,2003,1,1,1966,0,0,1,0,0,0,0,0,0,7,4000,,,,,,,,1000,4,160,1966,2,400000,1,1,2,,2,,2,,2,,1,3000,1,2000,2,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
25007,1988,4,,,,,,,,,,,,,,,,,,,,2,400,2,140,1988,2,400000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
25138,1973,5,,,,,,,,,,,,,,,,,,,,3,400,4,130,1970,2,200000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
25148,1982,1,1,1982,0,1,0,0,0,0,0,0,0,4,,,,,,,,,600,4,190,1974,2,300000,1,1,1,1,2,,2,,2,,2,,2,,,,1,1,2,,,2,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
25245,1996,1,1,2001,1,0,0,0,0,0,0,0,0,1,95000,,,,,,,,700,2,120,1985,1,300000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,1,3,1,1,2,,2,0,,0,,0,,0,,100
25435,2008,1,1,2008,1,0,0,0,0,0,0,0,0,1,325000,,,,,,,,850,3,130,1961,2,330000,1,1,1,1,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
25625,1947,1,1,1978,1,0,0,0,0,0,0,0,0,4,,,,,,,,,2500,3,260,1872,2,1500000,1,2,2,,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
25930,1973,1,1,1973,1,1,0,0,0,0,0,0,0,2,4000,,,,,,,,800,3,108,1973,1,280000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
25968,1981,1,1,1984,1,1,0,0,0,0,0,0,0,1,30000,,,,,,,,400,2,100,1980,2,100000,2,,2,,2,,2,,2,,1,2000,2,,2,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
25970,1996,2,,,,,,,,,,,,,,,,340,4,2,,4,,4,80,1920,1,130000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
26048,1972,2,,,,,,,,,,,,,,,,500,2,2,,4,,4,80,1970,1,320000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
26163,1986,2,,,,,,,,,,,,,,,,350,1,1,500,4,,2,108,1929,2,250000,2,,2,,2,,2,,2,,,,,,,,,,,,1,2,2,,2,,2,,,,,1,2,0,,1,1,0,,0,,
26281,1953,1,1,1953,1,0,0,0,0,0,0,0,0,1,1000,,,,,,,,400,4,160,1900,1,150000,2,,2,,2,,2,,2,,1,250,2,,2,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
26310,1970,1,1,1980,1,1,0,0,0,0,0,0,0,4,,,,,,,,,500,3,139,1965,2,400000,2,,1,1,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
26349,1978,1,1,1978,1,1,0,0,0,0,0,0,0,7,30000,,,,,,,,600,2,82,1978,1,320000,1,1,2,,2,,2,,2,,1,3500,2,,2,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
26499,1948,1,1,1948,1,0,0,0,0,0,0,0,0,4,,,,,,,,,400,4,70,1900,1,70000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
26653,1970,1,1,1970,1,0,0,0,0,0,0,0,0,1,44000,,,,,,,,500,3,98,1960,1,180000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
26684,1970,3,1,1980,1,1,0,0,0,0,0,0,0,3,5000,,,,,,,,500,3,45,1940,1,150000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
