NQUEST,NORD,INTPER,ATTIVP,PARTIME,CONTRATT,TUTTANNO,MESILAV,PUBBLICO,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM,OREDES
39485,1,1,1,1,1,1,12,1,,20,2,,22000,2,0,36
39485,2,1,1,1,1,1,12,1,,30,1,5,21000,2,0,
39542,2,2,1,1,2,2,3,1,,36,2,,4000,2,0,40
39581,1,1,1,1,1,1,12,1,,36,2,,27000,2,0,18
39697,2,1,1,1,1,1,12,1,,40,2,,21000,2,0,
39907,1,1,1,1,1,1,12,1,,35,2,,19000,2,0,40
50060,1,1,1,1,1,1,12,1,,36,2,,35000,2,0,36
50150,2,2,1,1,1,1,12,2,3,40,2,,14600,2,0,40
50150,3,1,1,1,1,1,12,2,2,50,2,,13000,2,0,
50231,2,1,1,1,1,1,12,2,2,36,2,,15000,2,0,
50274,1,1,1,1,1,1,12,2,5,45,1,5,16772,2,0,45
50274,2,2,1,1,1,1,12,2,5,40,2,,14560,2,0,45
50281,4,1,1,1,1,1,12,2,2,40,2,,11000,2,0,
50618,3,3,1,2,1,1,12,2,2,30,2,,11200,2,0,30
50618,4,3,1,1,1,1,12,2,7,40,2,,15400,2,0,
50674,2,1,1,1,1,1,12,1,,45,1,5,17346,2,0,
51013,1,1,1,1,1,1,12,1,,25,2,,23400,2,0,40
51185,1,1,1,1,1,1,12,1,,36,1,0,21000,2,0,36
51185,2,2,1,1,1,1,12,1,,36,2,,18850,2,0,36
51351,1,1,1,1,1,1,12,2,3,40,1,1,19500,2,0,40
52478,1,1,1,1,1,1,12,2,3,35,2,,28000,2,0,35
52505,2,1,1,1,1,1,12,1,,48,1,6,20000,2,0,
52718,2,1,1,1,1,1,12,2,1,35,2,,6500,2,0,
52985,1,1,1,1,1,1,12,1,,36,2,,14500,2,0,36
53008,1,1,1,1,1,1,12,2,5,40,2,,28000,2,0,40
53008,2,2,1,1,1,1,12,2,2,40,2,,22000,2,0,40
53085,1,1,1,1,1,1,12,2,5,40,2,,22000,2,0,40
53085,2,2,1,1,1,2,6,2,5,40,2,,8000,2,0,30
53086,1,1,1,1,1,1,12,1,,50,1,12,23000,1,1760,45
53108,2,2,1,1,1,1,12,2,5,40,2,,30000,2,0,30
53202,2,2,1,1,1,1,12,2,4,36,2,,16000,2,0,30
53225,2,1,1,1,1,1,12,1,,34,2,,15500,2,0,
53373,2,1,1,1,1,1,12,2,4,40,1,0,22100,2,0,
53380,2,2,1,1,1,1,12,2,1,40,2,,19000,2,0,
53549,3,1,1,1,2,1,12,1,,40,2,,14000,2,0,
53552,1,1,1,2,1,1,12,2,1,30,1,2,12000,2,0,40
53596,1,1,1,1,2,2,6,2,2,40,2,,7500,2,0,40
53666,1,1,1,1,1,1,12,2,5,40,2,,18000,1,,45
53751,1,1,1,1,1,1,12,2,1,40,2,,17000,2,0,40
53871,1,1,1,1,1,1,12,1,,40,2,,16000,2,0,50
53871,3,1,1,1,1,1,12,2,2,40,2,,12000,2,0,
54279,1,1,1,1,1,1,12,1,,18,1,5,25000,2,0,10
54949,2,2,1,1,1,1,12,2,2,30,2,,12000,2,0,30
54949,3,3,1,2,1,1,12,2,1,27,2,,10000,2,0,54
55094,1,1,2,1,1,2,5,1,,36,1,17,6500,1,450,
55094,2,2,1,1,1,1,12,1,,36,1,1,17000,1,1000,36
55104,2,1,1,1,1,1,12,2,2,40,2,,13000,2,0,
55104,3,1,1,1,1,1,12,1,,36,2,,15000,2,0,
55333,2,1,1,1,1,1,12,2,4,45,1,5,18060,2,0,
55636,1,1,1,1,1,1,12,1,,36,2,,18000,2,0,36
55636,2,2,1,1,1,1,12,1,,20,2,,24500,2,0,30
55774,2,1,1,1,1,1,12,2,1,40,2,,12500,2,0,
55799,2,1,1,1,1,1,12,1,,36,2,,16000,2,0,
56251,2,1,1,1,1,1,12,2,7,30,2,,12000,2,0,
56270,3,2,1,1,2,2,4,2,4,40,2,,3600,2,0,
56270,3,2,2,1,2,2,4,2,1,40,2,,4400,2,0,
56582,1,1,1,1,1,1,12,2,7,39,1,1,13000,1,800,39
56582,2,1,1,1,1,1,12,2,4,40,2,,16000,2,0,
56603,1,1,1,1,1,1,12,2,2,40,2,,15000,2,0,40
56603,3,3,1,1,2,2,9,1,,34,2,,8700,2,0,35
56624,1,1,1,1,1,1,12,1,,41,1,5,22750,1,480,41
56656,2,1,1,1,1,1,12,1,,40,1,2,21000,2,0,
56677,3,1,1,2,1,1,12,1,,18,2,,10000,2,0,
56686,1,1,1,1,1,1,12,2,7,40,1,4,20000,2,0,40
56686,2,1,1,1,1,1,12,2,7,40,2,,14000,1,500,
56686,3,1,1,2,1,1,12,2,3,25,2,,10000,2,0,
56721,1,1,1,2,1,2,9,2,5,36,1,0,10800,2,0,36
56721,4,1,1,1,1,1,12,2,2,40,1,0,10200,2,0,
56761,4,4,1,1,1,1,12,1,,22,1,4,17550,2,0,30
56762,3,1,1,1,1,1,12,2,7,40,2,,12000,2,0,
57027,2,2,1,2,1,1,12,1,,20,2,,11000,2,0,36
57042,4,1,1,1,1,1,12,2,1,50,2,,7000,2,0,
57043,2,1,1,1,1,1,12,2,2,40,2,,11000,2,0,
