NQUEST,NORD,INTPER,ENTEPEN,TIPOPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE,NPENS
39055,2,1,1,1,1993,460,13,2,0,80,1
39057,1,1,1,5,2010,550,1,2,0,,2
39057,1,1,2,1,1990,1550,13,2,0,100,1
39058,2,1,1,1,2004,1300,13,2,0,80,1
39060,1,1,1,1,1980,560,13,2,0,75,1
39061,1,1,1,1,1993,1800,13,2,0,80,1
39083,1,1,1,1,1984,1500,13,2,0,80,1
39083,3,1,1,4,2002,500,13,2,0,,1
39086,1,1,1,1,2002,600,13,2,0,50,1
39086,2,2,2,1,1990,1500,13,2,0,80,1
39095,1,1,1,1,1983,1500,13,2,0,100,1
39111,1,1,1,1,1980,560,13,2,0,50,1
39111,1,1,1,5,1991,460,13,2,0,,2
39218,1,1,1,1,2001,1800,13,2,0,80,1
39218,1,1,1,1,2007,,13,2,0,10,2
39227,1,1,1,1,1992,450,13,2,0,50,1
39227,1,1,1,5,2007,280,13,2,0,,2
39259,1,1,1,1,1999,1100,13,2,0,80,1
39259,2,2,1,1,1991,700,13,2,0,80,1
39284,1,1,2,1,1992,1630,12,2,0,100,1
39284,2,1,2,1,1988,1550,12,2,0,100,1
39351,1,1,1,1,1985,630,13,2,0,80,1
39351,2,2,1,1,1985,580,13,2,0,60,1
39356,1,1,1,1,1998,469,13,2,0,70,1
39356,2,2,1,1,1997,459,13,2,0,60,1
39433,1,1,1,1,1974,1220,13,2,0,90,1
39433,2,2,6,1,2006,800,13,2,0,80,1
39436,1,1,1,1,2003,1300,13,2,0,100,1
39441,1,1,1,1,2004,1709,13,2,0,70,1
39486,1,1,1,1,1991,480,13,2,0,50,1
39486,1,1,1,5,2009,830,13,2,0,,2
39488,1,1,2,1,2007,1100,13,2,0,90,1
39488,2,2,1,1,1981,450,13,2,0,70,1
39488,2,2,1,5,2002,350,13,2,0,,2
39491,1,1,2,1,1997,1550,13,2,0,80,1
39491,2,1,2,1,1992,1150,13,2,0,70,1
39542,1,1,1,1,2003,800,13,2,0,90,1
39697,1,1,3,1,2007,2100,13,2,0,70,1
50052,1,1,1,2,1993,603,13,2,0,,1
50085,1,1,1,1,1999,875,13,2,0,60,1
50135,1,1,1,1,1995,1420,13,2,0,50,1
50178,1,1,1,2,2007,410,13,2,0,,1
50231,1,1,1,1,1999,700,13,2,0,70,1
50232,1,1,1,1,1972,500,13,2,0,70,1
50232,2,2,1,3,2005,365,13,2,0,,1
50281,1,1,1,1,2004,960,13,2,0,70,1
50618,1,1,1,1,1969,450,13,2,0,50,1
50618,2,2,1,1,1988,500,13,2,0,50,1
50674,1,1,1,1,1986,538,13,2,0,70,1
50674,1,1,1,5,1981,196,13,2,0,,2
51013,2,1,1,1,2010,1600,13,2,0,80,1
51351,2,1,1,1,1985,620,13,2,0,50,1
51351,3,1,1,1,1990,450,13,2,0,50,1
51352,2,1,2,1,2001,1400,13,2,0,90,1
51363,1,1,1,5,2009,600,13,2,0,,1
51444,1,1,2,1,2002,1100,13,2,0,95,1
51444,2,2,1,1,2008,930,13,2,0,90,1
51467,1,1,1,1,1998,692,13,2,0,50,1
51467,2,2,1,1,1997,384,13,2,0,50,1
51544,1,1,1,1,2010,870,13,2,0,70,1
51544,2,2,1,1,2003,580,13,2,0,40,1
51719,1,1,1,1,1989,1980,13,2,0,80,1
51733,1,1,1,1,1998,760,13,2,0,50,1
51733,1,1,1,1,2003,,13,2,0,,2
51733,2,1,1,1,2000,437,13,2,0,25,1
51792,1,1,1,5,1972,1000,13,2,0,,1
51895,1,1,1,1,1995,1200,13,2,0,70,1
