NQUEST,QUEST,NQUESTP,CONTINT,NOPCF,STUPCF,CONPCF,SETPCF,ANAPCF,CITPCF,NOMCF,STUMCF,CONMCF,SETMCF,ANAMCF,CITMCF,VITGEN,NGEN,VITF,NFRAT,NSORE,FIGLI,NFIGLI,PRIMOGE,PRIMOSEX,PRIMOANASC,NFIGLINOIT,PARNOIT,ANCONV,CAPI
859288,2,,3,1,2,8,4,1943,,1,2,9,,1951,,1,2,1,0,1,2,,,,,,2,,1
859290,2,,3,1,4,1,2,1939,,1,4,2,3,1947,,1,2,1,2,1,2,,,,,,,2010,0
859293,2,,2,1,2,9,,1902,,1,2,9,,1902,,2,,1,1,1,2,,,,,,2,,1
859294,2,,3,1,4,2,3,1956,2,1,5,2,4,1956,2,1,3,1,1,0,2,,,,,,,1998,0
859295,2,,2,1,1,1,2,1905,,1,1,9,,1908,,2,,1,2,3,1,2,2,1,1967,,,,1
859299,2,,3,1,2,1,1,1937,2,1,2,1,1,1941,2,1,1,1,5,3,1,1,2,2,1989,1,,1987,1
859306,1,,1,1,1,1,1,1912,,1,1,1,1,1916,,2,,1,5,2,1,1,2,1,1970,,,,1
859321,2,,3,1,4,6,4,1925,,1,3,9,,1939,,1,4,1,2,0,2,,,,,,,1993,1
859322,2,,2,1,1,1,1,1910,,1,1,9,,1911,,2,,1,0,1,1,3,2,1,1960,,,,1
859339,2,,1,1,1,1,1,1916,,1,1,1,1,1920,,2,,1,3,3,1,1,2,1,1975,,,1973,1
859348,1,,1,1,2,1,2,1944,,1,2,9,,1950,,1,4,1,2,2,2,,,,,,,1990,1
859355,1,,1,1,2,1,1,1939,,1,2,9,,1941,,1,1,1,1,1,2,,,,,,,1992,1
859358,2,,1,1,1,8,1,1886,,1,1,9,,1903,,2,,1,1,0,2,,,,,,2,,1
859360,2,,1,1,3,1,2,1951,,1,3,9,,1952,,1,3,1,2,1,2,,,,,,,2006,1
859364,2,,1,1,1,1,1,1923,,1,1,9,,1931,,1,2,1,0,3,1,1,1,,,,,1977,1
859381,2,,1,1,1,1,1,1923,,1,1,9,,1924,,2,,1,2,1,2,,,,,,,1983,1
859384,2,,1,1,2,1,1,1940,,1,2,9,,1947,,1,4,1,0,1,2,,,,,,,2005,1
859398,1,,1,1,2,9,,1921,,1,2,9,,1926,,2,,1,4,1,1,1,2,2,1974,,,1972,1
859400,1,,1,1,1,9,,1917,,1,1,9,,,,1,1,1,2,1,1,1,2,2,1977,,,1974,1
859408,2,,2,1,3,7,4,1945,,1,3,7,4,1948,,1,4,1,0,3,2,,,,,,,2002,1
859422,2,,1,2,,,,,,2,,,,,,2,,1,0,1,1,1,2,2,1978,,,1977,1
859426,2,,1,1,4,2,3,1935,,1,5,3,3,1941,,1,4,1,0,1,2,,,,,,,2000,1
859429,2,,1,1,1,9,,1901,,1,1,9,,1908,,2,,1,1,2,1,1,2,2,1957,,,1956,1
859430,2,,1,1,1,1,1,1906,,1,1,1,1,1912,,2,,2,,,2,,,,,,2,,1
859436,2,,1,2,,,,,,2,,,,,,1,2,2,,,2,,,,,,2,,1
859449,2,,1,1,1,8,1,1915,,1,1,9,,1918,,1,1,1,3,3,1,2,2,1,1970,,,1969,0
859453,2,,2,1,2,8,4,1940,,1,2,9,,1945,,1,3,1,1,1,2,,,,,,,1989,0
859456,2,,2,1,2,1,2,1933,,1,3,1,2,1939,,1,3,1,1,0,2,,,,,,,1991,0
859459,2,,2,1,1,1,2,1932,,1,1,1,2,1932,,1,4,1,0,2,2,,,,,,,1990,0
859461,2,,1,1,2,1,4,1920,,1,1,1,1,,,2,,1,1,0,1,1,2,2,1973,,,,0
859464,2,,3,1,4,2,3,1941,,1,4,8,4,1946,,1,3,1,4,2,2,,,,,,,2000,0
859469,2,,3,1,3,1,2,1932,,1,3,1,2,1937,,1,2,1,0,1,2,,,,,,2,,0
859473,2,,1,1,5,5,3,1944,2,1,3,1,3,1949,2,1,3,1,2,6,2,,,,,,,1998,0
859478,2,,2,1,2,8,4,1926,,1,1,9,,1924,,2,,1,5,2,1,5,1,,,,,1972,0
859484,1,,1,1,1,1,1,1920,,1,1,9,,1921,,2,,1,3,2,1,3,2,2,1963,,,,1
859489,1,,2,1,3,1,4,1938,,1,2,9,,1938,,1,3,1,5,2,1,1,1,,,,,1981,1
859495,1,,2,1,2,1,4,1904,,1,1,9,,1908,,2,,1,2,1,1,2,2,1,1959,,,1958,1
859498,2,,2,1,3,2,3,1953,,1,2,9,,1956,,1,3,1,7,1,2,,,,,,,1994,1
859501,2,,2,1,2,8,4,1941,,1,2,9,,1943,,1,4,1,3,1,2,,,,,,,1997,1
859507,2,,2,1,2,9,,1927,,1,2,9,,1931,,1,4,1,3,6,2,,,,,,,1995,1
859508,2,,2,1,4,2,4,1946,,1,3,2,4,1954,,1,2,1,6,1,2,,,,,,,1997,1
859510,2,,2,1,1,1,1,1947,,1,1,9,,1953,,1,4,1,3,4,2,,,,,,,2002,1
859515,2,,2,1,1,8,1,1899,,1,1,9,,1903,,2,,2,,,1,1,2,2,1963,,,,1
859516,2,,2,1,1,1,1,1900,,1,1,9,,1902,,2,,1,3,6,1,8,2,2,1946,,,1946,1
859517,2,,2,1,1,1,1,1893,,1,1,9,,1898,,2,,1,1,1,2,,,,,,2,,1
859520,2,,3,1,3,1,1,1934,,1,2,9,,1940,,1,4,1,4,3,1,1,2,2,1987,,,1987,1
859526,2,,2,1,1,1,1,1898,,1,1,9,,1900,,2,,1,3,0,1,4,2,1,1949,,,,1
859527,2,,3,1,1,1,1,1902,,1,1,9,,1905,,2,,1,4,3,1,6,2,2,1952,,,1951,1
859537,2,,3,1,2,1,4,1908,,1,2,1,1,1909,,2,,1,2,1,1,1,2,2,1977,,,1969,0
859538,2,,3,1,2,8,4,1898,,1,2,9,,1900,,2,,2,,,1,2,2,1,1968,,,,0
859539,2,,3,1,2,8,1,1900,,1,2,9,,1904,,2,,1,2,2,1,3,2,1,1958,,,1956,0
859554,2,,4,1,3,2,2,,,1,2,1,2,,,1,2,2,,,2,,,,,,2,,0
859566,2,,3,1,3,1,4,1906,,1,2,9,,1911,,2,,2,,,2,,,,,,,1999,0
859572,2,,3,1,3,2,3,1924,,1,2,8,4,1930,,2,,1,0,2,1,1,2,1,1978,,,1973,0
859573,1,,3,1,1,9,,,,1,1,9,,,,1,1,1,11,7,2,,,,,,,1994,1
859575,1,,1,1,1,1,4,1908,,1,1,9,,1910,,2,,2,,,2,,,,,,,1982,1
859576,1,,2,2,,,,,,2,,,,,,2,,2,,,2,,,,,,2,,1
859578,1,,1,1,1,8,4,1892,,2,,,,,,2,,2,,,2,,,,,,2,,1
859579,1,,1,2,,,,,,2,,,,,,2,,2,,,1,2,2,1,1956,,,,1
