NQUEST,TIPOIMM,QUOPRO,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,ANPOSS,SUPAB,ANCOSTR,SUPTE,SUPTM,USOIMM,VALABIT,AFFITTO,AFFEFF,AFFIMP,POSS,IMMDOVE,IMMREG,IMMEST,PRO7,PRO8,PRO9,quo
35502,7,100,0,1,0,0,0,0,,,,,6000,9,100000,2,,4000,5,1,,,0,0,0,1
35507,1,100,1,0,0,0,0,0,1993,100,1993,,,8,200000,2,,5000,1,1,,,0,0,0,1
35508,7,100,1,1,0,0,0,0,,,,13,,10,130000,2,,2500,1,1,,,0,0,0,1
35508,7,100,1,1,0,0,0,0,,,,52,,10,200000,2,,3500,1,1,,,0,0,0,1
35682,1,100,1,1,0,0,0,0,2005,60,1950,,,4,50000,2,,3600,1,1,,,0,0,0,1
35682,7,100,1,0,0,0,0,0,,,,,1500,9,3000,2,,100,1,1,,,0,0,0,1
36106,1,100,1,0,0,0,0,0,1996,56,1996,,,8,60000,2,,6000,6,1,,,0,0,0,1
36106,7,100,1,0,0,0,0,0,,,,,800,9,15000,2,,1200,1,1,,,0,0,0,1
36146,7,100,1,1,0,0,0,0,,,,,6000,11,10000,2,,500,1,1,,,0,0,0,1
36146,8,100,1,1,0,0,0,0,,,,,1100,9,15000,2,,2000,1,1,,,0,0,0,1
36321,1,100,1,1,0,0,0,0,2001,80,1970,,,1,120000,2,,3600,1,1,,,0,0,0,1
36378,6,100,1,1,0,0,0,0,1997,30,1997,,,3,20000,2,,1200,2,1,,,0,0,0,1
36409,1,100,1,1,0,0,0,0,2007,62,1905,,,1,90000,2,,8000,1,1,,,0,0,0,1
36427,1,33,0,1,0,0,0,0,2008,50,1950,,,8,60000,2,,3500,3,1,,,0,0,0,0.33
36443,1,50,0,1,0,0,0,0,1995,200,1950,,,8,150000,2,,5000,3,1,,,0,0,0,0.5
36450,7,100,1,0,0,0,0,0,,,,2,,9,60000,2,,5000,3,1,,,0,0,0,1
36522,2,100,1,0,0,0,0,0,1987,80,1960,,,2,300000,2,,4800,3,1,,,0,0,0,1
36522,6,100,1,1,0,0,0,0,1992,30,1970,,,3,30000,2,,1200,1,1,,,0,0,0,1
36522,6,100,1,0,0,0,0,0,1997,30,1970,,,3,30000,2,,1200,1,1,,,0,0,0,1
37011,1,100,0,0,1,0,0,0,2000,110,1978,,,4,150000,1,5000,0,5,1,,,0,0,0,1
37459,1,50,1,0,0,0,0,0,2010,70,1980,,,1,280000,2,,7200,3,1,,,0,0,0,0.5
37504,1,100,1,1,0,0,0,0,1975,100,1972,,,1,250000,2,,12000,2,1,,,0,0,0,1
37504,6,100,0,1,0,0,0,0,1990,30,1985,,,3,100000,2,,6000,2,1,,,0,0,0,1
37677,1,10,1,0,0,0,0,0,1983,95,1949,,,3,180000,2,,350,3,1,,,0,0,0,0.1
37721,6,100,0,1,0,0,0,0,1983,38,1500,,,3,80000,2,,6000,3,1,,,0,0,0,1
37808,4,100,1,1,0,0,0,0,1981,80,1970,,,2,200000,2,,15000,3,1,,,0,0,0,1
37808,7,100,0,1,0,0,0,0,,,,2,,11,10000,2,,1000,3,1,,,0,0,0,1
37808,7,100,0,1,0,0,0,0,,,,1,,11,10000,2,,1000,3,1,,,0,0,0,1
37810,1,100,1,0,0,0,0,0,1996,20,1800,,,2,15000,2,,1000,3,1,,,0,0,0,1
38112,1,100,0,1,0,0,0,0,1985,75,1930,,,13,150000,2,,8400,3,1,,,0,0,0,1
38118,1,100,1,1,0,0,0,0,1984,40,1920,,,4,60000,1,960,0,3,1,,,0,0,0,1
38118,4,100,1,1,0,0,0,0,1984,37,1920,,,5,70000,1,2700,0,3,1,,,0,0,0,1
38118,4,100,1,1,0,0,0,0,1984,31,1920,,,5,60000,1,2160,0,3,1,,,0,0,0,1
38118,8,100,1,0,0,0,0,0,,,,,1000,9,65000,2,,600,3,1,,,0,0,0,1
38118,7,100,1,0,0,0,0,0,,,,,6000,11,5000,2,,200,3,1,,,0,0,0,1
38135,1,100,1,0,0,0,0,0,2008,80,1800,,,5,120000,1,5400,0,3,1,,,0,0,0,1
38272,1,100,1,0,0,0,0,0,1998,35,1960,,,1,,2,0,5000,1,1,,,0,0,0,1
38272,7,33,1,0,0,0,0,0,,,,,1700,11,40000,2,,200,1,1,,,0,0,0,0.33
38316,2,100,1,0,0,0,0,0,2010,50,1800,,,2,300000,2,,12000,5,1,,,0,0,0,1
38349,1,100,1,1,0,0,0,0,2000,100,1686,,,1,200000,2,,6000,1,1,,,0,0,0,1
38493,1,100,0,1,0,0,0,0,2006,80,1987,,,8,130000,2,,5400,1,1,,,0,0,0,1
38495,1,100,0,1,0,0,0,0,2007,110,1990,,,13,160000,2,,12000,3,1,,,0,0,0,1
38554,1,12,0,1,0,0,0,0,1980,91,1900,,,13,300000,2,,144000,3,1,,,0,0,0,0.12
38800,1,100,1,0,0,0,0,0,1982,50,1980,,,4,150000,1,3000,0,2,1,,,0,0,0,1
38885,1,100,1,0,0,0,0,0,2002,40,1800,,,3,40000,2,,1000,1,1,,,0,0,0,1
38909,1,100,1,0,0,0,0,0,1980,50,1960,,,8,30000,2,,3000,3,1,,,0,0,0,1
38909,1,100,1,0,0,0,0,0,1988,50,1970,,,8,50000,2,,2400,3,1,,,0,0,0,1
38909,7,100,1,0,0,0,0,0,,,,2,,8,20000,2,,1800,3,1,,,0,0,0,1
38909,7,100,1,0,0,0,0,0,,,,2,,8,30000,2,,2400,3,1,,,0,0,0,1
38909,7,100,1,0,0,0,0,0,,,,3,,8,20000,2,,1200,3,1,,,0,0,0,1
38977,3,50,1,0,0,0,0,0,1990,500,1990,,,2,400000,2,,24000,6,1,,,0,0,0,0.5
38977,7,50,1,0,0,0,0,0,,,,2,,10,1000000,2,,6000,3,1,,,0,0,0,0.5
38977,3,50,1,0,0,0,0,0,1977,350,1977,,,2,1000,2,,200,6,1,,,0,0,0,0.5
38992,1,100,1,0,0,0,0,0,1981,38,1910,,,1,70000,2,,6000,2,1,,,0,0,0,1
38992,1,100,0,1,0,0,0,0,1981,48,1910,,,1,90000,2,,6000,2,1,,,0,0,0,1
38992,1,100,1,0,0,0,0,0,1971,120,1971,,,4,300000,1,6600,0,5,1,,,0,0,0,1
38992,1,50,1,0,0,0,0,0,2006,120,1971,,,4,300000,1,4200,0,3,1,,,0,0,0,0.5
38992,1,100,0,0,1,0,0,0,2007,50,2007,,,4,160000,1,5500,0,5,1,,,0,0,0,1
38995,1,50,1,0,0,0,0,0,1970,130,1970,,,14,300000,2,,6000,1,1,,,0,0,0,0.5
38995,1,70,1,0,0,0,0,0,1980,150,1980,,,1,200000,2,,5000,6,2,19,,0,0,0,0.7
38995,6,100,1,0,0,0,0,0,1975,18,1970,,,3,20000,2,,3000,1,1,,,0,0,0,1
38995,7,25,1,0,0,0,0,0,,,,,8000,11,10000,2,,1000,3,2,19,,0,0,0,0.25
39056,1,50,1,0,0,0,0,0,1990,90,1960,,,3,140000,2,,4500,3,1,,,0,0,0,0.5
39061,1,100,0,1,0,0,0,0,2009,40,1500,,,3,80000,2,,2400,1,1,,,0,0,0,1
39086,1,33,1,0,0,0,0,0,1990,400,1920,,,1,1200000,2,,6000,3,1,,,0,0,0,0.33
39086,4,33,1,0,0,0,0,0,1990,60,1920,,,5,250000,1,6000,0,3,1,,,0,0,0,0.33
39086,5,100,0,1,0,0,0,0,2000,80,1920,,,2,200000,2,,8400,3,1,,,0,0,0,1
39095,1,100,0,1,0,0,0,0,1973,140,1973,,,,400000,2,,7200,3,1,,,0,0,0,1
39218,8,100,1,0,0,0,0,0,,,,,6000,3,30000,2,,1200,3,1,,,0,0,0,1
39284,1,100,1,0,0,0,0,0,1970,90,1850,,,5,130000,1,4800,0,3,1,,,0,0,0,1
39284,1,100,1,0,0,0,0,0,1994,40,1880,,,4,30000,1,2400,0,3,1,,,0,0,0,1
39356,1,100,1,1,0,0,0,0,1975,100,1975,,,4,200000,1,,0,1,1,,,0,0,0,1
39441,7,100,1,0,0,0,0,0,,,,,300,11,500,2,,50,3,1,,,0,0,0,1
39485,7,22,0,1,0,0,0,0,,,,10,,3,500000,1,3600,0,3,1,,,0,0,0,0.22
39486,1,50,1,0,0,0,0,0,2009,110,1985,,,1,350000,2,,12000,3,2,8,,0,0,0,0.5
39486,1,50,1,0,0,0,0,0,2009,130,1973,,,1,700000,1,24000,0,3,1,,,0,0,0,0.5
39486,8,50,1,0,0,0,0,0,,,,,2000,8,5000,2,,500,3,2,8,,0,0,0,0.5
39486,8,50,1,0,0,0,0,0,,,,,1500,8,7000,2,,1000,3,2,8,,0,0,0,0.5
