NQUEST,FIDGEN,FID1,FID2,FID3,FID4,FID5,FID6,FID7,FID8,SOCGEN,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,EDUC1,EDUC2,EDUC3,EDUC4,EDUC5,EDUC6,GIUSTIZ1,NSGIUSTIZ2,GIUSTIZ2,HAPPY
684559,6,10,8,6,6,6,6,6,3,1,7,9,9,9,7,7,7,8,8,8,7,8,2,,10000,
684574,5,10,7,1,1,2,7,1,1,1,10,10,10,10,10,8,10,10,10,10,10,10,2,,20000,
684592,6,10,6,7,6,5,5,3,7,2,10,10,10,7,7,7,10,10,10,6,8,6,2,1,,7
684594,5,10,10,5,8,8,6,6,8,1,10,10,10,6,8,10,10,10,10,6,8,8,2,,50000,10
684608,2,5,8,3,3,3,3,3,1,2,9,6,6,8,8,10,9,8,6,8,9,10,2,,5000,
684609,5,10,7,4,6,6,6,5,6,2,8,9,9,9,9,9,9,9,9,9,9,9,1,,100000,
684642,5,10,8,8,5,5,5,5,8,1,5,8,8,8,5,10,8,8,8,8,6,8,2,,5000,
684649,6,10,8,8,5,6,7,5,5,6,8,10,10,10,10,6,8,10,7,10,10,6,1,,4000,
684671,9,10,9,8,8,8,8,8,8,10,7,9,9,9,9,9,9,9,9,9,9,9,2,2,,
684684,5,10,7,5,3,5,5,3,3,5,3,6,9,3,8,7,8,8,9,3,8,8,2,,20000,
684727,9,10,10,8,8,8,7,5,5,1,8,10,10,10,8,10,10,10,10,10,8,10,2,,10000,9
684740,6,8,6,4,4,3,1,1,1,3,6,7,7,8,7,7,7,6,7,8,7,6,2,,20000,
684752,7,10,10,5,5,5,5,5,7,1,10,10,10,10,10,10,10,10,10,10,10,10,2,1,,
684797,6,7,7,5,4,4,4,1,4,1,7,9,9,8,8,6,9,9,9,7,9,9,2,1,,
684819,7,9,8,8,7,7,6,6,6,5,8,8,9,9,7,8,9,9,10,7,8,8,2,,5000,6
684839,1,10,5,5,3,3,1,1,1,1,3,10,10,10,10,10,3,10,10,10,10,10,2,2,,
684866,6,9,8,5,5,5,5,5,5,4,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
684886,7,10,7,3,4,4,1,1,6,5,8,9,9,9,7,8,9,9,9,9,9,9,2,,10000,
684927,1,10,10,10,10,10,6,6,9,1,10,10,10,10,10,10,10,10,10,10,10,10,2,1,,
684973,9,10,9,9,8,8,8,8,8,1,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
684988,6,8,8,8,8,8,6,6,8,1,7,8,7,9,8,8,9,8,9,9,9,9,2,1,,
685016,2,9,6,7,5,4,5,4,3,6,5,6,7,6,5,3,3,4,3,4,5,6,2,1,,
685026,2,10,7,4,4,3,2,2,6,4,8,10,10,10,9,10,9,10,10,10,10,10,2,1,,
685045,7,10,9,9,10,7,6,8,6,1,10,10,10,10,10,10,10,10,10,10,10,10,2,2,,
685052,5,8,7,7,6,6,6,6,6,6,5,5,5,6,7,6,7,7,7,7,7,7,2,,10000,
685058,7,9,8,7,7,6,6,6,3,9,7,9,10,10,7,8,10,10,9,8,8,7,2,,2000,7
