nquest,pro1,pro2,pro3,pro4,pro5,pro6,tipoimm,quopro,pro7,pro8,pro9,pro10,anposs,supab,ancostr,supte,suptm,usoimm,valabit,affitto,affeff,affimp,poss,immdove,immreg,immest
50060,3,4,,,,,1,100,0,0,0,0,2003,50,1983,,,4,120000,1,4800,,3,1,,
50135,1,,,,,,1,100,0,0,0,0,1970,50,1969,,,4,130000,1,8400,,2,1,,
51351,3,,,,,,1,100,0,0,0,0,1997,40,1997,,,8,50000,2,0,1200,6,1,,
51352,1,,,,,,7,100,0,0,0,0,,,,1,,11,1000,2,0,100,3,1,,
51352,1,,,,,,1,100,0,0,0,0,2000,110,1997,,,8,80000,2,0,3000,3,1,,
51363,1,,,,,,7,50,0,0,0,0,,,,,5000,11,10000,2,0,1000,3,1,,
51467,1,,,,,,7,100,0,0,0,0,,,,5,,9,50000,2,0,2000,3,1,,
51719,1,2,,,,,1,100,0,0,0,0,1973,200,1800,,,14,150000,2,0,3000,3,1,,
51719,1,,,,,,1,50,0,0,0,0,1973,200,1800,,,1,150000,1,3000,,3,1,,
51733,1,2,,,,,1,50,0,0,0,0,1968,150,1930,,,8,400000,2,0,5000,3,1,,
52700,1,2,,,,,6,100,0,0,0,0,1981,24,1970,,,3,25000,2,0,2000,1,1,,
52716,1,,,,,,7,100,0,0,0,0,,,,1,,9,10000,2,0,200,3,1,,
52736,1,2,3,,,,6,100,0,0,0,0,1957,12,1957,,,3,15000,2,0,2400,3,1,,
53008,2,,,,,,1,100,0,0,0,0,2005,75,1960,,,4,170000,1,6000,,4,1,,
53085,1,2,,,,,1,100,0,0,0,0,2006,40,1996,,,8,115000,2,0,4000,1,1,,
53086,1,,,,,,1,20,0,0,0,0,2005,280,1993,,,14,150000,2,0,3500,3,2,15,
53108,1,,,,,,1,50,0,0,0,0,1989,100,1960,,,14,120000,2,0,7200,3,1,,
53109,1,,,,,,1,50,0,0,0,0,1982,30,1900,,,3,50000,2,0,3000,1,2,13,
53564,2,,,,,,1,100,0,0,0,0,1970,80,1970,,,1,200000,2,0,8000,2,1,,
53564,1,,,,,,1,100,0,0,0,0,1960,70,1960,,,1,600000,2,0,12000,2,2,4,
