nquest,debm31,tdebita31,mutuodu31,mutuoin31,tmutuoab31,debgar31_1,debgar31_2,debgar31_3,debgar31_4,debgar31_5,DEBPERS31,debrf31,debm32,tdebita32,mutuodu32,mutuoin32,tmutuoab32,debgar32_1,debgar32_2,debgar32_3,debgar32_4,debgar32_5,DEBPERS32,debrf32,debm33,tdebita33,mutuodu33,mutuoin33,tmutuoab33,debgar33_1,debgar33_2,debgar33_3,debgar33_4,debgar33_5,DEBPERS33,debrf33,taeg11,taeg12,taeg13
685196,2,1500,2,1500,500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
685591,1,16000,7,18000,3000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
685793,1,2800,5,8000,1800,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,3.35,,
685905,1,5200,2,10250,4600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,
685908,1,4800,6,12000,2400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
686173,2,600,2,3600,1800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
686528,1,15000,5,20000,5700,0,0,0,1,0,1,2,4,3000,5,9000,2200,0,0,0,1,0,1,2,,,,,,,,,,,,,4.5,0,
686717,4,3000,6,6000,1250,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
687134,1,7800,4,8500,1800,1,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,
687164,4,400,2,3000,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
687168,1,3900,3,10000,3800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,
687218,2,6360,24,12720,530,0,0,0,1,0,2,1,3,10000,24,11000,530,0,0,0,1,0,1,2,,,,,,,,,,,,,10.5,10.05,
687304,4,20000,7,40000,7560,0,1,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
687321,1,8000,4,10000,3000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
687685,1,3000,5,7000,2000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,
687971,1,5750,5,12122,2761,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6.43,,
688086,1,20000,8,28000,5500,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,9.08,,
688142,1,4500,4,8000,2400,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
688212,4,10000,6,12000,2600,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7,,
688226,4,20000,10,30000,3000,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,
688287,1,28000,10,30000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,
700073,4,1000,4,4000,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
700740,4,8000,5,8500,1800,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,
700752,1,7000,4,19000,5400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
701536,1,15000,4,15500,500,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,
702827,1,6500,5,11000,2900,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
704832,1,10000,5,10000,250,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
706422,1,8000,6,16000,3000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
707307,1,8000,4,10000,2000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,
