nquest,nord,intper,entepen,tipopen,decor,tpens,mesipen,arret,tarret,quotape,npens
35322,2,2,1,2,2007,248,13,2,0,,1
35323,1,1,1,1,1987,764,13,2,0,50,1
35323,2,2,1,2,2002,240,13,2,0,,1
35326,2,2,1,1,1995,1500,13,2,0,95,1
35340,1,1,1,5,2010,520,13,2,0,,1
35349,1,1,1,1,1990,680,13,2,0,70,1
35349,2,2,1,2,1992,300,13,2,0,,1
35355,1,1,1,4,1993,650,13,2,0,,1
35370,1,1,1,1,1993,600,13,2,0,90,1
35372,2,1,1,3,2010,800,13,2,0,,1
35372,3,1,1,4,1976,750,13,2,0,,1
35374,1,1,1,1,2011,950,13,2,0,70,1
35374,2,1,1,1,2011,1200,13,2,0,90,1
35379,1,1,1,1,2006,1200,13,2,0,70,1
35498,1,1,1,1,1992,1030,13,2,0,80,1
35498,2,2,1,1,1998,650,14,2,0,50,1
35500,1,1,1,1,1989,1600,13,2,0,80,1
35507,2,1,2,1,1993,1600,13,2,0,80,1
35518,1,1,1,1,1988,650,13,2,0,80,1
35518,1,1,1,5,2008,1500,12,2,0,,2
35520,2,1,1,1,2003,1600,13,2,0,80,1
35600,1,1,1,1,1990,1000,13,2,0,90,1
35640,1,1,1,1,2000,1300,13,2,0,80,1
35640,2,2,2,1,1991,1100,13,2,0,70,1
35682,1,1,1,1,2006,850,13,2,0,70,1
35788,1,1,1,1,2011,1420,13,2,0,80,1
35968,1,1,1,5,1996,479,13,2,0,,2
35968,1,1,2,1,1985,1183,13,2,0,90,1
36010,1,1,1,1,2004,1500,13,2,0,100,1
36067,1,1,4,3,1993,1600,12,2,0,,1
36106,1,1,2,5,1992,1186,13,2,0,,1
36148,1,1,1,1,1990,490,13,2,0,40,1
36148,2,2,1,2,1993,450,13,2,0,,1
36186,1,1,1,5,1992,240,12,2,0,,1
36249,1,1,1,1,1990,1500,13,2,0,90,1
36250,1,1,1,5,2006,250,13,2,0,,1
36321,1,1,1,1,2008,1850,13,2,0,90,1
36321,3,1,1,3,2000,720,13,2,0,,1
36378,1,1,1,1,2006,1250,13,2,0,40,1
36378,2,1,2,1,2012,700,1,2,0,80,1
36403,1,1,1,1,2001,1000,13,2,0,70,1
36403,2,1,1,3,2001,280,13,2,0,,1
36443,1,1,1,1,2011,1236,13,2,0,80,1
36450,1,1,1,1,2010,1470,13,2,0,80,1
36494,1,1,1,1,1997,750,13,2,0,70,1
36494,2,1,1,1,1997,476,12,2,0,40,1
36524,2,1,1,1,2008,2000,13,2,0,80,1
36524,3,1,1,1,1998,1500,13,2,0,80,1
36697,1,1,1,5,1991,270,13,2,0,,1
36774,1,1,1,1,2011,460,13,2,0,100,1
37001,1,1,1,1,1996,1500,13,2,0,80,1
37011,1,1,2,1,2004,1570,13,2,0,70,1
37011,2,2,2,1,2009,1480,13,2,0,70,1
37042,2,1,1,1,2006,1900,13,2,0,75,1
37504,1,1,1,1,1986,2400,13,2,0,60,1
37504,2,2,1,7,1990,400,14,2,0,,1
37521,1,1,2,1,2007,1700,13,2,0,90,1
37665,3,1,1,2,1988,600,13,2,0,,1
37677,1,1,3,1,1996,2100,13,2,0,75,1
37721,1,1,1,1,1995,1100,13,2,0,90,1
37721,1,1,6,1,1966,125,12,2,0,20,2
37721,2,1,1,1,1985,460,13,2,0,50,1
37810,1,1,1,1,2011,493,13,2,0,50,1
38014,2,1,2,1,2010,1800,13,2,0,80,1
38106,1,1,2,1,1998,1870,13,2,0,95,1
38106,2,1,1,1,1995,485,13,2,0,40,1
38128,1,1,1,1,2007,480,13,2,0,70,1
38177,1,1,1,1,1978,1406,13,2,0,60,2
38177,1,1,1,1,1984,104,13,2,0,60,1
38177,2,1,1,4,1985,260,13,2,0,,1
38261,1,1,1,1,1994,1400,13,2,0,90,1
38261,2,1,1,4,2005,349,13,2,0,,1
38272,1,1,1,1,2002,1458,13,2,0,80,1
38349,1,1,1,1,1999,2000,13,2,0,80,1
38349,2,2,1,3,2005,300,13,2,0,,1
38797,1,1,1,1,1998,210,13,2,0,50,1
38797,1,1,1,5,1984,720,13,2,0,,2
38800,1,1,2,1,1991,1490,13,2,0,80,1
38877,1,1,1,1,2010,1750,13,2,0,90,1
38877,2,1,1,4,2008,250,13,2,0,,1
38885,1,1,1,1,1996,1400,13,2,0,100,1
38903,1,1,1,1,1992,887,13,2,0,70,1
38939,1,1,1,5,2012,950,13,1,4000,,1
38940,1,1,1,1,1998,950,13,2,0,80,1
38940,2,2,1,1,2005,1400,13,2,0,90,1
38957,1,1,1,1,1985,1400,13,2,0,70,1
