nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,etalav2,etapen,coppu,prevcom,anprevcom,mprevcom1,mprevcom,coppip,docsezb
32190,1,2,2,,1,20,1,37,,,,,,,,,,2
32198,1,1,2,,,24,1,26,,,,,,,,,,2
32198,2,1,2,,,20,1,33,,,,,,,,,,2
32206,1,4,1,2,1,13,1,2,,46,65,50,2,,,,,2
32206,2,2,1,1,1,16,1,3,,25,,,2,,,,,2
32209,1,2,2,,1,14,1,6,,,,,,,,,,1
32209,2,3,2,,1,14,1,37,,,,,,,,,,1
32210,1,2,1,1,3,15,1,7,,,,,,,,,,1
32210,2,3,1,2,1,13,1,29,,,,,,,,,,1
32210,3,2,1,2,1,22,1,6,,27,,,3,,,,,1
32210,4,2,1,1,1,18,1,3,,22,,,2,,,,,1
32229,1,0,,,,,,,,,,,,,,,,1
32288,1,5,2,,3,15,1,35,,52,65,70,,,,,,2
32288,2,0,,,,,,,,,,,,,,,,2
32318,1,1,2,,,16,1,35,,,,,,,,,,2
32320,1,1,2,,,20,1,31,,,65,60,2,,,,,1
32320,2,2,2,,1,27,1,29,,44,,,,,,,,1
32320,3,0,,,,,,,,,,,,,,,,1
32320,4,0,,,,,,,,,,,,,,,,1
32328,1,1,2,,,13,1,3,,,,,,,,,,2
32470,1,1,2,,,21,1,41,,,,,,,,,,2
32470,2,2,2,,3,23,1,10,,31,,,,,,,,2
32471,1,1,2,,,15,1,35,,,,,,,,,,2
32524,1,2,2,,1,19,1,28,,,,,,,,,,1
32524,2,1,2,,,25,1,36,,,,,,,,,,1
32556,1,5,2,,2,14,1,40,,,,,,,,,,2
32668,1,1,2,,,19,1,27,,,,,,,,,,2
32668,2,0,,,,,,,,,,,,,,,,2
32668,3,1,1,3,,18,1,10,,,,,,,,,,2
32703,1,1,2,,,27,1,16,,,,,,,,,,2
32703,2,3,2,,3,18,1,28,,,,,,,,,,2
32709,1,4,2,,3,19,1,40,,,,,,,,,,2
32709,2,2,2,,1,18,1,17,,,,,,,,,,2
32709,3,1,2,,,26,1,15,,,,,3,,,,,2
32709,4,1,2,,,27,1,7,,,,,3,,,,,2
32713,1,3,2,,3,15,1,33,,34,64,80,2,,,,,2
32713,2,2,2,,3,13,1,30,,36,,,2,,,,,2
32729,1,3,2,,3,17,1,40,,22,60,50,,,,,,2
32729,2,2,2,,3,15,1,20,,45,,,,,,,,2
32733,1,1,2,,,15,1,30,,,,,,,,,,1
32733,2,2,1,1,1,16,2,,,,,,,,,,,1
32734,1,1,2,,,15,1,31,,,60,70,2,,,,,2
32734,2,3,1,1,1,20,1,18,,31,,,2,,,,,2
32734,3,,,,,,,,,,,,,,,,,2
32734,4,,,,,,,,,,,,,,,,,2
32742,1,2,2,,1,14,1,38,,,,,,,,,,2
32742,2,1,2,,,14,1,38,,,,,,,,,,2
32751,1,3,2,,1,15,1,32,,,,,,,,,,2
32764,1,1,2,,,18,1,35,,,60,50,,,,,,2
32764,2,2,2,,3,21,1,30,,34,,,2,,,,,2
32764,3,2,2,,1,20,1,2,,,,,,,,,,2
32764,4,0,,,,,,,,,,,,,,,,2
32764,5,,,,,,,,,,,,,,,,,2
32765,1,3,2,,1,22,1,30,,36,67,70,2,,,,,2
32765,2,2,2,,1,26,1,32,,34,67,60,1,,,,70,2
32772,1,0,,,,,,,,,,,,,,,,2
32772,2,2,2,,1,17,1,40,,,,,,,,,,2
32810,1,1,2,,,16,1,15,,,,,,,,,,2
32822,1,1,2,,,24,1,40,,,,,,,,,,2
32822,2,0,,,,,,,,,,,,,,,,2
32822,3,2,1,3,1,23,1,12,,38,,,3,,,,,2
32839,1,2,2,,1,15,1,37,,,,,,,,,,2
32839,2,2,2,,1,14,1,13,,,,,,,,,,2
32861,1,1,2,,,15,1,40,,,,,,,,,,2
32861,2,1,2,,,18,1,40,,,,,,,,,,2
32861,3,1,2,,,19,1,4,,,,,3,,,,,2
32887,1,2,2,,2,18,1,29,,21,65,20,,,,,,2
32887,2,2,2,,2,18,1,27,,21,,,,,,,,2
32887,3,0,,,,,,,,,,,,,,,,2
32962,1,1,2,,,19,1,49,,,,,,,,,,2
