nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,pubblico,dimaz,oretot,pstra,orestra,ylm,integ,ylnm
53008,1,1,1,1,1,1,12,2,7,40,2,,30000,2,0
53008,3,1,1,1,1,1,12,2,4,40,2,,11500,2,0
53085,1,1,1,1,1,1,12,2,5,35,1,1,21000,2,0
53085,2,2,1,2,2,1,12,2,5,25,2,,8000,2,0
53086,1,1,1,1,1,1,12,1,,50,1,16,23500,2,0
53108,2,2,1,1,1,1,12,2,5,40,2,,26000,2,0
53202,2,2,1,1,1,1,12,1,,36,2,,14000,2,0
53373,2,1,1,1,1,1,12,2,6,40,2,,23000,2,0
53380,2,1,1,1,1,1,12,2,1,54,2,,18000,2,0
53552,1,1,1,1,1,1,12,2,2,35,2,,16000,2,0
53564,3,1,1,1,1,1,12,2,1,42,2,,8000,2,0
53596,1,1,1,1,2,2,6,2,3,40,1,20,10000,2,0
53666,1,1,1,2,3,1,12,2,1,15,2,,3500,2,0
53666,2,1,1,1,1,2,6,2,4,40,2,,7200,2,0
53871,1,1,1,2,1,1,12,2,4,30,2,,11000,2,0
54279,1,1,1,1,1,1,12,1,,25,2,,18000,2,0
54763,3,1,1,1,3,2,7,2,7,40,2,,8000,2,0
54949,1,1,1,1,2,1,12,1,,40,2,,12000,2,0
54949,2,1,1,1,1,1,12,2,2,38,2,,12000,2,0
55094,2,1,1,1,1,1,12,1,,36,1,1,18000,1,1080
55636,1,1,1,1,1,1,12,1,,36,2,,19000,2,0
55636,2,2,1,1,1,1,12,1,,25,2,,25000,2,0
55774,2,1,1,1,1,1,12,2,2,40,2,,14000,2,0
55799,2,1,1,1,1,1,12,1,,36,2,,15000,2,0
56251,2,1,1,1,1,1,12,2,5,35,2,,11000,2,0
56529,3,3,1,2,2,2,4,1,,18,1,10,4800,2,0
56582,1,1,1,1,1,1,12,2,7,39,1,2,15000,1,1000
56582,2,1,1,1,1,2,10,2,4,40,2,,7000,2,0
56603,2,1,1,1,1,1,12,2,2,40,1,4,15600,2,0
56656,2,1,1,1,1,1,12,1,,36,2,,19000,2,0
56686,2,1,1,1,1,1,12,2,7,38,2,,13000,1,700
56686,3,1,1,1,1,1,12,2,4,38,2,,10000,2,0
56721,1,1,1,2,1,2,9,2,5,36,1,2,10000,2,0
56761,4,4,1,1,1,1,12,1,,36,1,1,15880,1,1000
56762,3,3,1,1,1,1,12,2,1,44,2,,10800,2,0
57027,2,1,1,2,2,1,12,1,,36,2,,16000,2,0
57043,2,1,1,1,1,1,12,,1,40,2,,16000,2,0
57086,1,1,1,1,1,1,12,1,,36,1,3,36000,1,1500
57138,2,1,1,1,1,1,12,1,,20,2,,20500,2,0
57232,2,1,1,1,2,3,,2,1,40,2,,7000,2,0
57546,1,1,1,1,1,1,12,2,7,34,2,,18000,2,0
57546,2,1,1,2,1,1,12,2,2,25,2,,9000,2,0
57547,3,1,1,2,2,2,3,2,1,50,2,,5000,2,0
57609,3,3,1,1,1,1,12,2,6,42,2,,17200,2,0
57621,1,1,1,1,1,1,12,2,7,40,1,2,23600,2,0
57670,1,1,1,1,1,1,12,2,7,40,2,,20150,2,0
57911,1,1,1,2,1,1,12,2,2,25,2,,13260,1,1058
57911,2,1,1,1,1,1,12,2,5,40,2,,21900,2,0
57962,2,1,1,1,1,1,12,1,,40,1,1,20000,1,
57962,3,1,1,1,1,1,12,2,7,40,1,2,15000,2,0
58053,1,1,1,1,1,1,12,2,2,40,1,2,21000,2,0
58055,1,1,1,1,1,1,12,2,5,45,2,,24000,1,1100
58055,2,2,1,1,1,1,12,2,2,40,2,,24600,2,0
60078,3,2,1,1,2,2,11,2,2,46,2,,11000,2,0
60078,4,4,1,1,1,1,12,2,4,20,2,,12500,2,0
91067,1,1,1,1,1,1,12,2,6,40,2,,20000,2,0
91071,1,1,1,2,1,1,12,2,7,30,2,,18000,2,0
91071,2,1,1,1,1,1,12,2,5,44,1,4,20000,1,1300
91074,1,1,1,1,1,1,12,2,5,38,2,,17000,1,1500
91079,1,1,1,1,2,2,8,1,,36,2,,9000,2,0
91079,1,1,2,1,2,2,3,1,,36,2,,3000,2,0
91081,2,2,1,1,1,1,12,2,2,32,2,,13000,2,0
91095,1,1,1,1,1,1,12,1,,36,1,0,27000,2,0
104002,2,1,1,1,1,1,12,1,,32,1,3,19000,1,250
111052,3,3,1,1,2,2,6,2,2,10,2,,7350,2,0
176011,2,2,1,1,1,1,12,2,7,16,2,,9600,2,0
178058,1,1,1,1,1,1,12,2,2,40,2,,18000,2,0
178058,2,2,1,1,1,1,12,2,2,36,2,,13000,2,0
217081,1,1,1,1,1,1,12,2,2,40,2,,19000,2,0
224028,1,1,1,1,1,1,12,2,7,50,2,,23400,1,1200
224028,2,1,1,1,1,1,12,1,,36,2,,20000,2,0
230003,3,1,1,1,1,1,12,2,4,42,1,2,20000,2,0
230039,1,1,1,2,2,2,8,2,1,15,1,2,4800,2,0
237003,3,1,1,1,1,1,12,2,2,45,2,,14000,2,0
243067,3,1,2,1,2,2,2,2,2,20,2,,400,2,0
244058,2,1,1,1,1,1,12,2,1,40,2,,15000,2,0
256015,2,1,1,1,1,1,12,2,2,40,2,,19000,2,0
282083,1,1,1,2,2,2,10,2,1,20,2,,7000,2,0
282089,3,1,1,2,1,1,12,2,1,26,2,,14000,2,0
282089,4,1,1,2,1,1,12,2,2,28,2,,12000,2,0
332080,1,1,1,2,2,1,12,2,2,20,2,,6500,2,0
332080,4,1,1,1,1,1,12,2,2,40,2,,15000,2,0
350068,1,1,1,1,1,1,12,2,7,36,1,2,17000,2,0
