nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
687353,36310.224971,0,0,0,29510,29510,29510,0,0,0,0,0,0,0,0,0,0,6800.2249708,6600,0,6600,200.22497082,200.22497082,0,0,0
687356,10388.486799,0,0,0,7930,7930,7930,0,0,0,0,0,0,0,0,0,0,2458.4867995,2400,0,2400,58.486799481,58.486799481,0,0,0
687361,15205.284865,0,0,0,12051,12051,12051,0,0,0,0,0,0,0,0,0,0,3154.284865,3000,0,3000,154.28486497,154.28486497,0,0,0
687404,84531.126158,22671.371984,22100,571.37198386,36400,36400,36400,0,0,0,0,0,0,0,16800,16800,0,8659.754174,7200,1200,6000,1459.754174,126.19909596,0,1333.5550781,0
687462,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,15000,0,0,0,0,0,0,0,0,0,0
687463,18065.033849,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,2465.0338495,2400,0,2400,65.033849473,65.033849473,0,0,0
687471,55885.137371,0,0,0,21450,21450,21450,0,0,0,0,0,0,0,29000,29000,0,5435.1373709,5400,0,5400,35.137370851,35.137370851,0,0,0
687491,17952.944552,0,0,0,11050,11050,11050,0,0,0,0,0,0,0,0,0,0,6902.9445517,6000,0,6000,902.94455172,118.68066536,784.26388636,0,0
687497,38024.10173,33600,33600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4424.1017301,3600,0,3600,824.10173012,71.208399218,752.89333091,0,0
687508,47179.313337,30379.313337,30379.313337,0,12000,0,0,0,12000,12000,0,0,0,0,0,0,0,4800,4800,0,4800,0,0,0,0,0
687564,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
