NQUEST,anabit,godabit,unipro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,poss,impacq,fittonop,tfittonop,tfitto,tipoaff,dfittom,tfittom,propriet,tfitimp,UBIC1N,supab,ancostr,bagni,boiler,valabit,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra,tmanstra,manstr2,tmanstr2,ristrut,tristrutn,tristrut,energia,tenergian,tenergia,imupricas,timupricas,imualtab,timualtab,imurip1,imurip2,imuasp,debita1,ndebita1,debita2,ndebita2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,fmutrif,mutuoe,mutuorif,reapmut,mutuor3,mutuoe3,mutuoric,mutuoric3,intpersezd,docsezd,ritaff,QUOPRO
24147,1982,1,1,1982,1,0,0,0,0,0,0,0,0,4,,,,,,,,,2500,1,200,1899,2,1,2000000,1,6,2,,2,,2,,2,,2,,2,,,,,,,,1,1200,1,1600,33,67,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,100
24149,1998,2,,,,,,,,,,,,,,,,110,6,1,500,7,,3,75,1970,1,1,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,10,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,2,
24194,1990,1,1,1990,1,1,0,0,0,0,0,0,0,3,30000,,,,,,,,500,2,100,1970,1,1,150000,1,1,2,,2,,2,,2,,1,1000,1,800,2,,,2,,,1,150,1,50,25,75,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
24195,1978,1,1,1999,1,1,0,0,0,0,0,0,0,3,30000,,,,,,,,450,2,74,1978,2,1,150000,2,,2,,2,,2,,2,,1,500,,,2,,,2,,,1,180,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
24326,1960,1,1,1960,1,0,0,0,0,0,0,0,0,7,100000,,,,,,,,1000,2,150,1960,2,1,500000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
24374,1972,1,1,2002,1,0,0,0,0,0,0,0,0,4,,,,,,,,,400,1,80,1930,2,1,150000,2,,2,,1,1,2,,2,,2,,2,,,,,,,,1,130,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,2,2,,100
24379,1969,1,1,1969,1,0,0,0,0,0,0,0,0,7,3000,,,,,,,,400,2,93,1966,1,2,130000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,75,2,,,,1,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
24382,1992,1,1,1990,1,1,0,0,0,0,0,0,0,5,7000,,,,,,,,200,5,58,1925,1,1,60000,2,,2,,1,1,2,,2,,2,,2,,,,,,,,1,56,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
24393,1963,1,1,1963,1,0,0,0,0,0,0,0,0,2,1000,,,,,,,,400,1,80,1963,1,1,80000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,600,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
24616,2004,5,,,,,,,,,,,,,,,,,,,,2,300,4,45,1930,1,1,100000,2,,2,,2,,2,,2,,1,1000,,,2,,,2,,,2,,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,
24760,1963,1,1,1998,1,0,0,0,0,0,0,0,0,2,72000,,,,,,,,400,2,75,1960,1,1,130000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,52,2,,,,100,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
24764,1989,1,1,1994,0,1,0,0,0,0,0,0,0,4,,,,,,,,,400,3,85,1960,1,1,220000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,90,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
24809,1992,1,1,1992,1,0,0,0,0,0,0,0,0,1,133000,,,,,,,,600,2,118,1970,1,1,350000,2,,1,1,2,,2,,2,,2,,2,,,,,,,,1,800,1,600,60,40,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
24853,1991,1,1,1991,1,0,0,0,0,0,0,0,0,2,75000,,,,,,,,600,2,80,1991,1,1,250000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,210,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
24924,1986,2,,,,,,,,,,,,,,,,340,2,2,,5,,3,90,1958,1,2,90000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,0,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
24984,2002,1,1,1966,0,0,1,0,0,0,0,0,0,7,3000,,,,,,,,800,3,160,1966,2,1,500000,1,1,2,,1,1,2,,2,,2,,2,,,,,,,,1,2400,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
25007,1988,4,,,,,,,,,,,,,,,,,,,,2,500,3,160,1988,2,1,380000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,70,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,
25138,1973,5,,,,,,,,,,,,,,,,,,,,3,350,1,130,1963,2,1,85000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,50,2,,2,,1,1,0,,0,,0,,0,,,1,2,2,,2,,2,,,,,2,,2,2,1,2,,
25148,1982,1,1,1991,0,1,0,0,0,0,0,0,0,4,,,,,,,,,450,1,180,1970,2,1,250000,2,,1,1,2,,2,,2,,2,,2,,,,,,,,1,300,1,550,100,0,100,2,,2,,1,2,0,,0,,0,,0,,,1,2,2,,2,,2,,,,,2,,2,2,1,2,,100
25245,1997,1,1,2002,1,0,0,0,0,0,0,0,0,1,92000,,,,,,,,600,2,120,1982,1,1,250000,2,,2,,2,,2,,2,,1,8000,,,2,,,2,,,1,100,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
25625,1950,1,1,1978,1,0,0,0,0,0,0,0,0,4,,,,,,,,,1700,2,250,1872,2,1,1500000,1,1,1,1,2,,2,,2,,1,6500,2,,2,,,2,,,1,890,1,1480,50,50,80,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,100
25930,1973,1,1,1973,1,1,0,0,0,0,0,0,0,2,4000,,,,,,,,600,2,108,1973,2,2,200000,2,,2,,2,,2,,2,,1,300,,,2,,,2,,,1,90,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
25968,1983,1,1,1985,1,1,0,0,0,0,0,0,0,1,40000,,,,,,,,400,4,90,1980,2,2,40000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,80,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
25970,1995,2,,,,,,,,,,,,,,,,351,1,2,,4,,2,70,1700,2,2,70000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,80,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
26048,1972,2,,,,,,,,,,,,,,,,500,1,2,,4,,1,87,1971,1,2,300000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,0,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
26163,1986,2,,,,,,,,,,,,,,,,400,1,2,,4,,1,108,1932,1,2,240000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,30,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,2,
26281,1954,1,1,1954,1,0,0,0,0,0,0,0,0,1,1000,,,,,,,,400,1,150,1930,1,1,120000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,250,2,,,,70,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
26310,1966,1,1,1975,0,1,0,0,0,0,0,0,0,4,,,,,,,,,500,2,139,1961,2,1,600000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,700,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
26349,1978,1,1,1978,1,1,0,0,0,0,0,0,0,7,45000,,,,,,,,600,3,82,1978,1,1,300000,1,1,2,,2,,2,,2,,1,4500,2,,1,2,,2,,,1,408,1,200,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
