NQUEST,ctit,NCTIT,ictit,unaban,banche,anniban,servb1,servb2,servb3,servb4,servb5,servb6,privateb,scoper,utscoper,mesiscoper,vmscoper,fscoper1,fscoper,carta,carte,usocart,cartdeb1,cartdeb,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,DEPOSIT,NDEPOSIT
32987,,,,1,1,2,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,1200,2,1,2
33036,2,,,1,1,2,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,700,2,1,2
33038,2,,,1,1,1,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,2,,1000,2,1,2
33228,1,1,1,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,2,,500,2,1,1
33245,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,300,2,1,2
33275,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,2,,1500,1,1,1
33303,2,,,1,1,3,1,1,0,0,0,0,2,2,,,,,,1,1,2,,,1,2,2,,500,2,1,1
33328,2,,,2,2,4,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,2,2,,1800,2,1,5
33335,2,,,2,3,4,1,1,1,0,0,0,2,2,,,,,,1,1,2,,,1,5,1,1,1300,1,1,7
33336,2,,,1,1,3,0,0,0,0,0,0,2,1,1,10,5000,1,0,2,,,,,2,,2,,800,2,1,1
33348,2,,,1,1,4,0,0,0,0,0,0,2,1,2,,,,,2,,,,,2,,2,,1300,2,1,2
33451,2,,,1,1,2,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,2,,1500,2,1,1
33455,2,,,1,1,4,0,0,0,1,0,0,2,1,2,,,,,2,,,,,2,,2,,1000,2,1,1
33479,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,2,,2000,2,1,1
33644,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1000,2,1,1
33751,2,,,1,1,4,1,1,0,0,0,0,2,1,2,,,,,1,2,2,,,1,2,2,,1600,2,1,1
33761,2,,,2,2,4,1,0,0,1,0,0,2,1,2,,,,,1,1,2,,,1,2,2,,2200,2,1,2
33773,2,,,1,1,4,0,1,1,0,0,0,2,3,,,,,,2,,,,,1,1,1,1,1000,2,1,1
33777,2,,,2,3,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,1,1,1000,2,1,4
33778,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,2
33781,2,,,1,1,4,1,0,1,0,0,0,2,2,,,,,,2,,,,,1,2,1,2,500,2,1,2
33823,2,,,1,1,4,1,0,0,0,0,0,2,3,,,,,,1,1,2,,,1,1,2,,800,2,1,1
33839,2,,,1,1,4,0,0,0,0,0,1,2,1,2,,,,,2,,,,,1,1,2,,500,2,1,1
33877,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,2,1,1,1300,2,1,1
33882,1,1,2,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,2,,1000,2,1,2
33888,,,,1,1,3,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,1000,2,1,2
33889,1,1,2,1,1,3,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,2,2,,1000,2,1,1
33937,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
33941,1,2,2,2,3,4,1,0,0,1,0,0,2,1,2,,,,,2,,,,,1,3,1,2,800,1,1,5
33983,2,,,1,1,4,1,0,0,0,1,0,2,2,,,,,,1,1,1,,,1,1,1,2,1000,1,1,3
33985,1,2,2,2,2,3,1,0,0,1,0,0,1,2,,,,,,1,3,2,,,1,4,2,,2500,1,1,2
33994,2,,,2,2,4,0,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,1,1,1400,2,1,4
34059,2,,,2,3,3,1,0,0,0,0,0,2,2,,,,,,1,2,2,,,1,2,1,1,2000,1,1,3
34230,,,,1,1,4,1,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,350,2,1,1
