nquest,nord,SEX,PARENT,ANASC,CIT,ANINGR,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,NORDP,MOTENT,APQUAL,ASNONOC,NACE,motiv,annoenus,tipolau,tipodip,NASCREG,NASCAREA,ireg,NCOMP,ETA,CLETA5,QUAL,Q,APSETT,SETT,CFRED,PERC,NPERC,AREA3,AREA5,ACOM4C,pesofit
25138,1,1,1,1950,1,,1,7,110,110,2,1992,,1,,15,2,15,,,9,3,19,3,19,3,62,4,6,3,15,5,1,1,2,3,5,1,0.8359107952
25138,2,2,2,1956,1,,1,3,,,,,,2,,13,,,,,,,19,3,19,3,56,4,7,3,,5,0,0,2,3,5,1,0.8359107952
25138,3,1,6,1983,1,,2,7,110,110,1,2010,,3,,20,,16,,,5,2,19,3,19,3,29,1,5,2,16,3,0,1,2,3,5,1,0.8359107952
25148,1,1,1,1950,1,,1,5,36,60,2,1972,1,1,,4,,11,,,,2,19,3,19,3,62,4,3,1,11,4,1,1,3,3,5,1,1.0715388934
25148,2,2,2,1962,1,,1,5,58,60,2,1981,2,2,,2,,11,,,,3,19,3,19,3,50,3,2,1,11,4,0,1,3,3,5,1,1.0715388934
25148,3,2,6,1985,1,,2,7,110,110,2,2009,,3,,7,,19,,,6,2,19,3,19,3,27,1,4,2,19,4,0,1,3,3,5,1,1.0715388934
25245,1,2,1,1971,1,,1,3,,,,,,1,,1,,1,,,,,16,3,16,4,41,2,1,1,1,1,0,1,2,3,4,0,2.694358611
25245,2,1,2,1968,1,,1,3,,,,,,2,,12,1,6,,,,,16,3,16,4,44,2,7,3,6,5,0,0,2,3,4,0,2.694358611
25245,3,1,6,1988,1,,2,5,80,100,2,2007,2,3,,8,,19,,,,2,16,3,16,4,24,1,5,2,19,4,1,1,2,3,4,0,2.694358611
25245,4,2,6,1995,1,,2,3,,,,,,4,,17,,,,,,,16,3,16,4,17,1,7,3,,5,0,0,2,3,4,0,2.694358611
25625,1,2,1,1925,1,,4,7,110,110,1,1947,,1,,16,,,,,9,5,15,3,9,1,87,5,6,3,,5,1,1,1,2,3,2,0.2208801944
25930,1,1,1,1946,1,,1,5,7,10,2,1965,2,1,,15,2,3,,,,2,3,1,3,2,66,5,6,3,3,5,1,1,2,1,1,0,1.3873376137
25930,2,2,2,1948,1,,1,2,,,,,,2,,15,1,3,,,,,3,1,3,2,64,4,6,3,3,5,0,1,2,1,1,0,1.3873376137
25968,1,1,1,1941,1,,1,3,,,,,,1,,15,2,3,,,,,3,1,3,2,71,5,6,3,3,5,1,1,2,1,1,2,0.1830196026
25968,2,2,2,1944,1,,1,2,,,,,,2,,15,1,20,,,,,3,1,3,2,68,5,6,3,20,5,0,1,2,1,1,2,0.1830196026
25970,1,1,1,1927,1,,1,3,,,,,,1,,15,2,11,,,,,3,1,3,2,85,5,6,3,11,5,1,1,1,1,1,2,0.1813388827
25970,2,2,2,1931,1,,1,2,,,,,,2,,13,,,,,,,3,1,3,2,81,5,7,3,,5,0,0,1,1,1,2,0.1813388827
26048,1,1,1,1942,1,,1,5,7,10,2,1962,2,1,,15,5,15,,,,2,3,1,9,2,70,5,6,3,15,5,1,1,1,2,3,2,0.2284241399
26048,2,2,2,1944,1,,1,5,7,10,2,1964,2,2,,13,,,,,,2,12,2,9,2,68,5,7,3,,5,0,0,1,2,3,2,0.2284241399
26163,1,2,1,1960,1,,1,3,,,,,,2,,13,,,,,,,7,1,7,4,52,3,7,3,,5,0,0,1,1,1,2,0.570786013
26163,2,1,2,1956,1,,1,5,60,60,2,1975,2,1,,1,,21,,,,1,1,1,7,4,56,4,1,1,21,4,1,1,1,1,1,2,0.570786013
