nquest,anabit,godabit,unipro,quopro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,poss,impacq,tfitto,tipoaff,propriet,tfitimp,supab,ancostr,bagni,riscald,valabit,vac,vacdov1,vacdov2,vacdov3,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra,tmanstra,manstr2,tmanstr2,ristr,tristr,debita1,ndebita1,debita2,ndebita2,debitb,tdebitb,debitc,tdebitc,debitd,tdebitd,debite,tdebite,ratab,ratac,taxc,ratad,taxd,ratae,taxe,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,mutuoe,mutuorif,mutuoric,pro7,pro8,pro9,TDEBITA
23986,1967,1,1,100,1965,1,,,,,,1,3000,,,,500,105,1965,1,1,400000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24010,1968,1,1,100,1996,1,,,,,,8,25000,,,,500,70,1966,1,1,80000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24080,2000,1,1,100,2000,1,2,,,,,7,150000,,,,1500,150,1999,2,1,500000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,,,,,,,,1,,2,2,,2,,2,,,2,,0,0,9500
24085,1980,1,1,100,1980,1,,,,,,1,20000,,,,600,80,1975,1,1,250000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24147,1982,1,2,33,1981,1,,,,,,4,,,,,2500,200,1900,2,1,1000000,1,1,0,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24149,1989,2,,,,,,,,,,,,120,5,8,,68,1979,1,1,150000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
24158,1968,1,1,100,1971,1,,,,,,1,3500,,,,300,90,1800,1,1,200000,1,0,0,1,2,,2,,2,,2,,2,,1,8000,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24171,2008,5,,,,,,,,,,,,,,2,350,60,1920,1,1,100000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
24194,1990,1,1,100,1990,1,2,,,,,3,30000,,,,500,100,1970,1,1,150000,1,1,0,1,1,1,2,,2,,2,,2,,1,1900,2,,2,,2,,2,,2,,1,6000,2,,2,,,2000,0,,,,,,1,2,2,,2,,2,,,2,,0,0,
24195,1979,1,1,100,1999,1,2,,,,,3,30000,,,,300,74,1978,2,1,100000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24202,1973,1,1,100,1973,1,,,,,,1,35000,,,,700,70,1965,1,1,150000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24312,1979,1,1,100,1979,1,,,,,,1,96000,,,,500,110,1957,2,1,200000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24322,1979,2,,,,,,,,,,,,160,6,7,,80,1978,1,1,100000,1,1,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
24326,1975,1,1,100,1971,1,,,,,,1,50000,,,,600,120,1974,2,1,300000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24374,1974,1,1,100,1974,1,,,,,,4,,,,,400,90,1970,2,1,150000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,1,10000,2,,2,,,4700,,,,,,1,1,2,2,,2,,2,,,2,,0,0,4000
24379,1969,1,1,100,1989,1,,,,,,7,3500,,,,400,93,1969,1,1,200000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24382,1992,3,1,100,1992,1,2,,,,,5,20000,,,,300,58,1925,1,1,60000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24393,1964,1,1,100,1964,1,,,,,,2,1000,,,,450,80,1958,1,1,130000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24529,1987,2,,,,,,,,,,,,800,7,7,,100,1987,2,1,400000,1,1,0,0,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
24571,1970,1,1,100,1970,1,,,,,,7,20000,,,,400,100,1970,2,1,130000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24616,2002,2,,,,,,,,,,,,250,4,2,,50,1998,1,1,110000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
24760,1965,1,1,100,1990,1,,,,,,3,90000,,,,300,74,1960,1,1,120000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24764,1989,1,1,100,1989,1,,,,,,4,,,,,500,80,1959,1,1,500000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
24809,1992,1,1,100,1992,1,,,,,,1,150000,,,,800,118,1965,1,1,400000,2,,,,1,1,1,1,2,,2,,2,,1,1800,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
