nquest,numadd,numdip,quopro,forgiu,sedeit,fatlor,ym,debcr1,debcr2,debcr3,debcr4,debcr5,tfr,immob,valaz,ind1,ind2,ind3,ind4,attivp1,attivp2,attivp3,attivp4,mesilav1,mesilav2,mesilav3,mesilav4,oretot1,oretot2,oretot3,oretot4
806578,9,5,100,6,1,4200000,330000,40000,0,0,161000,150000,37743,1,300000,1,2,,,1,1,,,12,12,,,60,60,,
806585,2,0,100,8,1,100000,30000,400000,0,0,0,0,,1,300000,1,2,,,1,1,,,12,12,,,60,30,,
807375,1,0,100,8,1,8000,5000,0,0,0,0,0,,2,0,1,,,,2,,,,12,,,,20,,,
807625,16,14,50,7,1,50000,30000,0,30000,25000,0,40000,80000,1,100000,1,,,,1,,,,12,,,,45,,,
808968,1,0,100,8,1,50000,20000,0,0,0,0,0,,1,200000,1,,,,1,,,,12,,,,50,,,
810186,2,0,100,8,1,20000,15000,0,0,10000,0,0,,1,50000,1,2,,,1,1,,,12,12,,,77,77,,
810365,2,0,50,9,1,24000,18000,0,0,0,0,0,,2,50000,1,2,,,2,1,,,12,12,,,50,60,,
811277,5,4,100,1,1,100000,65000,0,0,25000,0,35000,,1,50,1,,,,1,,,,12,,,,40,,,
811570,5,4,100,7,1,100000,30000,0,0,0,0,0,10000,2,10000,1,,,,1,,,,12,,,,50,,,
811806,3,2,100,8,1,90000,30000,0,0,0,0,0,,1,1500000,1,2,,,1,1,,,12,12,,,10,12,,
811809,1,1,100,9,1,16000,13000,0,0,0,0,0,,1,100000,1,,,,1,,,,12,,,,70,,,
811824,2,0,100,8,1,40000,25000,0,0,0,0,0,,1,50000,2,3,,,1,1,,,6,6,,,50,100,,
811830,3,1,100,8,1,50000,35000,60000,0,0,0,0,,1,300000,1,3,,,2,1,,,3,6,,,50,100,,
812075,2,0,100,9,1,20000,12000,0,0,0,0,0,,1,100000,2,,,,1,,,,12,,,,40,,,
812270,2,2,100,1,1,,,0,0,0,0,0,,2,0,2,3,,,2,2,,,1,1,,,1,1,,
813342,7,5,50,7,1,3000,2400,0,0,0,0,0,,1,100000,2,,,,2,,,,12,,,,5,,,
813355,5,2,25,7,1,20000,12000,0,0,0,0,0,9000,2,150000,2,,,,1,,,,12,,,,40,,,
813919,3,1,50,7,1,150000,12000,0,150000,0,0,0,1200,2,100000,1,2,,,2,2,,,12,12,,,50,50,,
814720,3,1,100,1,1,60000,45000,0,0,0,0,0,,1,200000,1,,,,1,,,,12,,,,60,,,
815143,2,1,100,8,1,20000,8000,0,0,0,2000,500,500,2,5000,1,2,,,1,1,,,12,12,,,90,15,,
815416,3,1,100,7,1,140000,75000,0,0,0,50000,80000,65000,1,90000,1,3,,,1,2,,,12,12,,,45,40,,
815463,2,0,100,8,1,20000,16000,0,0,0,0,0,,2,20000,3,4,,,1,1,,,12,12,,,40,25,,
815843,1,0,100,8,1,25000,12000,0,0,0,0,0,,2,10000,2,,,,1,,,,12,,,,40,,,
816092,3,2,100,8,1,50000,43000,0,0,0,0,0,12000,2,120000,1,2,3,,1,1,1,,12,12,12,,9,30,40,
816370,2,1,100,8,1,50000,35000,0,0,0,0,0,5000,2,10000,1,3,,,1,1,,,12,12,,,50,50,,
816670,2,0,100,8,1,20000,10000,0,0,0,0,0,,2,6000,1,2,,,1,1,,,10,10,,,40,10,,
817400,1,0,100,8,1,30000,15000,0,0,0,0,0,,2,30000,2,,,,1,,,,12,,,,40,,,
817489,5,3,35,1,1,20000,18000,0,0,0,0,0,30000,1,80000,1,2,,,2,1,,,12,12,,,45,45,,
818924,2,1,100,6,1,140000,20000,0,0,0,0,20000,10800,2,5000,1,2,,,2,1,,,12,12,,,45,45,,
820052,4,0,25,1,1,40000,25000,0,0,0,0,0,,2,100000,1,,,,1,,,,12,,,,60,,,
820274,3,2,100,8,1,60000,5000,0,30000,0,15000,0,1800,2,200000,1,2,,,1,2,,,3,12,,,40,60,,
820697,1,0,100,8,1,30000,15000,0,0,0,0,15000,,1,80000,1,,,,1,,,,12,,,,54,,,
821935,3,0,33,7,1,20000,14000,0,0,0,0,40000,,1,500000,1,,,,1,,,,12,,,,60,,,
822033,2,1,50,9,1,12000,6000,0,0,0,0,0,6000,2,1000,2,,,,1,,,,12,,,,30,,,
823240,1,0,100,9,1,75000,40000,0,0,0,0,0,,1,10000,2,,,,1,,,,12,,,,48,,,
823561,4,0,50,9,1,95000,,0,0,0,0,0,,1,1000000,1,2,,,1,1,,,12,12,,,60,60,,
825142,3,0,10,8,1,5000,3000,0,0,0,0,0,,2,0,1,,,,1,,,,12,,,,42,,,
825824,5,4,100,8,1,100000,40000,0,0,0,0,0,30000,1,300000,1,5,6,,1,2,2,,12,12,12,,60,60,60,
825983,2,0,100,9,1,50000,35000,0,0,0,0,0,,1,70000,1,3,,,1,1,,,12,12,,,50,50,,
826214,3,1,100,8,1,40000,25000,0,0,0,0,0,300,1,0,1,2,,,1,1,,,12,12,,,44,44,,
826743,30,24,10,7,1,100000,,0,0,0,0,0,,1,0,1,2,,,1,1,,,12,12,,,45,40,,
