NQUEST,NORD,NCOMP,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,UNIVER1,ANNIUNIVER,NORDP,MOTENT,APQUAL,ASNONOC,APSETT,MOTIV,ANNOENUS,TIPOLAU,NASCREG,NASCAREA,IREG,AREA3,AREA5,ACOM4C,ETA,CLETA,CLETA5,QUAL,Q,SETT,CFRED,PERC,NPERC,PESOFIT,SALUTC,TIPODIP
812872,2,2,1,5,1960,1,,2,2,4,,,,,,,,,,2,,2,,,,3,1,3,1,1,1,48,3,3,2,1,2,1,1,2,0.6533144778,,
812875,1,3,2,1,1948,1,,3,1,2,,,,,,,,,,16,,,,,,16,3,3,1,1,1,60,4,4,6,3,5,0,1,2,0.7676513453,,
812875,2,3,1,2,1945,1,,2,1,2,,,,,,,,,,12,1,2,,,,16,3,3,1,1,1,63,4,4,7,3,5,0,0,2,0.7676513453,,
812875,3,3,2,5,1969,1,,2,2,3,,,,,,,,,,1,,4,,,,3,1,3,1,1,1,39,2,2,1,1,4,1,1,2,0.7676513453,,
812876,1,2,2,1,1970,1,,1,1,5,80,100,2,1992,2,,,,,2,,5,,,,3,1,3,1,1,1,38,2,2,2,1,4,0,1,2,1.1065111508,,1
812876,2,2,1,2,1965,1,,1,1,3,,,,,,,,,,1,,2,,,,3,1,3,1,1,1,43,3,2,1,1,2,1,1,2,1.1065111508,,
812880,1,1,2,1,1926,1,,3,4,2,,,,,,,,,,15,8,4,,,,3,1,3,1,1,1,82,5,5,6,3,5,1,1,1,0.6776320246,,
812887,1,4,1,1,1957,1,,2,1,4,,,,,,,,,,1,,2,,,,3,1,3,1,1,1,51,4,3,1,1,2,0,1,4,0.6776525912,,
812887,2,4,2,2,1959,1,,2,1,4,,,,,,,,,,2,,9,,,,3,1,3,1,1,1,49,3,3,2,1,3,1,1,4,0.6776525912,,
812887,3,4,1,5,1984,1,,1,2,5,70,100,2,2003,2,,,,,2,,4,,,,3,1,3,1,1,1,24,1,1,2,1,4,0,1,4,0.6776525912,,2
812887,4,4,1,5,1988,1,,1,2,4,,,,,,,,,,1,,2,,,,3,1,3,1,1,1,20,1,1,1,1,2,0,1,4,0.6776525912,,
812889,1,4,2,1,1971,1,,1,1,3,,,,,,,,,,19,,,,,,3,1,3,1,1,1,37,2,2,7,3,5,0,0,1,0.9008981013,,
812889,2,4,1,2,1970,1,,1,1,3,,,,,,,,,,1,,5,,,,19,3,3,1,1,1,38,2,2,1,1,4,1,1,1,0.9008981013,,
812889,3,4,2,5,1992,1,,1,2,3,,,,,,,,,,17,,,,,,3,1,3,1,1,1,16,1,1,7,3,5,0,0,1,0.9008981013,,
812889,4,4,1,5,1996,1,,1,2,2,,,,,,,,,,17,,,,,,3,1,3,1,1,1,12,1,1,7,3,5,0,0,1,0.9008981013,,
812890,1,2,2,1,1929,1,,2,4,1,,,,,,,,,,15,1,1,,,,3,1,3,1,1,1,79,5,5,6,3,5,0,1,2,0.8754381552,,
812890,2,2,1,5,1964,1,,1,2,3,,,,,,,,,,8,,4,,,,3,1,3,1,1,1,44,3,2,5,2,4,1,1,2,0.8754381552,,
812892,1,3,2,1,1965,1,,1,1,3,,,,,,,,,,2,,9,,,,3,1,3,1,1,1,43,3,2,2,1,3,0,1,2,0.8032058644,,
812892,2,3,1,2,1962,1,,1,1,3,,,,,,,,,,8,,4,,,,17,3,3,1,1,1,46,3,3,5,2,4,1,1,2,0.8032058644,,
812892,3,3,1,5,1990,1,,1,2,3,,,,,,,,,,17,,,,,,3,1,3,1,1,1,18,1,1,7,3,5,0,0,2,0.8032058644,,
812896,1,1,1,1,1985,2,2000,1,1,3,,,,,,,,,,1,,3,3,,,,,3,1,1,1,23,1,1,1,1,2,1,1,1,0.7266158932,,
812897,1,3,2,1,1950,1,,2,2,5,75,100,2,1967,2,,,,,15,3,9,,,,3,1,3,1,1,1,58,4,4,6,3,5,0,1,3,0.6453161191,,5
812897,2,3,2,3,1915,1,,3,4,3,,,,,,,,,,16,,,,,,3,1,3,1,1,1,93,5,5,6,3,5,0,1,3,0.6453161191,,
812897,3,3,2,10,1947,1,,2,2,5,80,100,2,1965,2,,,,,15,3,9,,,,3,1,3,1,1,1,61,4,4,6,3,5,1,1,3,0.6453161191,,5
812904,1,4,2,1,1971,1,,1,1,3,,,,,,,,,,1,,2,,,,3,1,3,1,1,1,37,2,2,1,1,2,0,1,2,0.9008022056,,
812904,2,4,1,2,1975,1,,1,1,2,,,,,,,,,,1,,3,,,,3,1,3,1,1,1,33,2,1,1,1,2,1,1,2,0.9008022056,,
812904,3,4,1,5,2003,1,,1,2,1,,,,,,,,,,18,,,,,,3,1,3,1,1,1,5,1,1,7,3,5,0,0,2,0.9008022056,,
812904,4,4,1,5,2008,1,,1,2,1,,,,,,,,,,18,,,,,,3,1,3,1,1,1,0,1,1,7,3,5,0,0,2,0.9008022056,,
812908,1,2,1,1,1935,1,,2,1,3,,,,,,,,,,15,8,3,,,,5,1,3,1,1,1,73,5,5,6,3,5,1,1,2,0.6776405589,,
812908,2,2,2,2,1936,1,,2,1,3,,,,,,,,,,15,1,4,,,,16,3,3,1,1,1,72,5,5,6,3,5,0,1,2,0.6776405589,,
812915,1,3,1,1,1928,1,,3,1,2,,,,,,,,,,15,1,9,,,,3,1,3,1,1,1,80,5,5,6,3,5,0,1,3,0.6613582483,,
812915,2,3,2,2,1929,1,,3,1,2,,,,,,,,,,16,,,,,,3,1,3,1,1,1,79,5,5,6,3,5,0,1,3,0.6613582483,,
812915,3,3,2,5,1960,1,,2,2,5,48,60,2,1984,2,,,,,2,,2,,,,3,1,3,1,1,1,48,3,3,2,1,2,1,1,3,0.6613582483,,2
