nquest,npagcart,npagcaan,nprel1,nprel1an,prelmed1,pagam4u,pagam4,pagam4an,nprel2,nprel2an,prelmed2,assban,nassban,nassban2,assdep,limass,ammass,checkcc,checktipo,scont1,scont2,scont3,scont4
36891,,,4,,300,1,,8,,5,200,2,,,2,,,4,3,2,2,2,2
37001,3,,2,,250,1,6,,0,,,2,,,3,,,3,3,2,2,2,2
37286,1,,1,,500,1,,10,8,,300,2,,,2,,,3,3,2,2,1,
37459,,6,4,,200,2,,,0,,,2,,,2,,,2,2,2,2,2,2
37521,,,2,,700,1,,7,1,,700,1,,5,1,3,,3,2,2,2,2,2
37665,,3,10,,200,1,1,,3,,200,2,,,2,,,3,1,2,2,1,
37721,,,,,,,,,1,,800,2,,,3,,,4,3,2,2,2,1
37810,,,,,,,,,,,,,,,,,,,,2,2,2,2
37929,,,,,,,,,2,,300,2,,,3,,,4,2,2,1,,
38014,,,4,,200,1,1,,0,,,2,,,1,2,,2,1,2,2,2,1
38106,,10,0,,,1,8,,,4,1000,1,,4,1,1,100000,1,1,2,2,1,
38118,,,,,,,,,1,,300,2,,,1,3,,3,1,2,2,2,1
38121,,3,0,,,2,,,1,,2500,2,,,3,,,3,1,2,2,2,1
38153,2,,20,,150,1,15,,,4,700,1,,4,1,1,103000,3,1,2,2,2,1
38160,,,,,,,,,,,,,,,,,,,,2,2,1,
38169,,,,,,,,,1,,2000,2,,,1,3,,4,1,1,,,
38177,,,0,,,2,,,2,,500,1,,1,3,,,4,3,2,2,1,
38183,8,,8,,150,1,10,,,1,500,1,12,,2,,,3,1,2,2,1,
38261,,,1,,250,2,,,1,,1000,2,,,1,2,,3,1,2,2,2,1
38272,,,2,,250,1,1,,,3,1000,2,,,2,,,2,2,2,1,,
38319,,5,3,,250,1,1,,,6,500,2,,,1,1,100000,3,3,2,2,2,2
38431,,,1,,900,1,1,,1,,100,2,,,3,,,2,3,2,1,,
38481,,,,,,,,,3,,300,2,,,3,,,2,1,2,2,2,2
38489,3,,7,,200,2,,,,5,300,2,,,1,1,103000,2,2,2,2,1,
38495,,10,6,,150,1,6,,2,,700,1,,5,1,3,,2,1,2,2,1,
38496,,,,,,,,,0,,,2,,,3,,,4,1,2,2,2,2
38797,,,3,,250,1,1,,0,,,2,,,3,,,4,1,2,2,2,2
38871,,,,,,,,,,,,,,,,,,,,1,,,
38885,,,1,,500,2,,,0,,,1,,1,1,3,,3,3,1,,,
38903,,,,,,,,,,,,,,,,,,,,2,2,2,2
38939,,,,,,,,,1,,1000,2,,,1,3,,6,4,2,2,2,1
38940,,,3,,50,1,10,,0,,,2,,,1,3,,4,3,2,2,2,1
38967,2,,10,,150,1,10,,0,,,1,1,,2,,,3,1,2,2,1,
38977,,,4,,200,1,10,,3,,200,1,4,,1,1,98000,2,2,2,2,2,1
38992,4,,2,,500,1,3,,0,,,1,,3,2,,,2,1,1,,,
38995,,3,2,,500,1,2,,,6,1000,1,,2,3,,,2,2,2,2,2,2
39055,1,,1,,1500,2,,,,5,2000,2,,,3,,,4,2,2,2,2,1
39056,10,,4,,250,1,10,,0,,,1,1,,1,3,,2,2,2,2,2,1
39057,,,2,,400,2,,,,1,2000,1,,1,3,,,4,2,2,2,2,1
39060,,,,,,,,,1,,400,2,,,3,,,4,2,2,2,2,2
39095,,,,,,,,,1,,500,1,,10,3,,,4,2,2,2,2,2
39125,,,,4,300,1,4,,2,,300,2,,,2,,,4,3,2,2,2,2
39218,,,,3,250,1,,6,1,,1000,1,,5,1,1,100000,3,1,1,,,
39227,,,,,,,,,,,,,,,,,,,,2,2,2,2
39259,,,,,,,,,2,,200,2,,,2,,,3,3,2,2,2,2
39317,4,,4,,200,1,4,,,9,200,1,,8,2,,,3,1,2,1,,
39318,3,,2,,200,1,5,,2,,300,1,,5,2,,,3,3,2,2,2,1
39351,,,,,,,,,2,,400,2,,,2,,,3,3,1,,,
39441,,,1,,250,1,1,,1,,1000,2,,,3,,,3,1,1,,,
39486,,,1,,150,2,,,2,,100,2,,,3,,,4,3,2,2,2,1
39491,1,,,,,,,,3,,150,2,,,2,,,3,1,2,2,2,1
39542,,,,,,,,,,,,,,,,,,,,2,2,1,
39581,,,,,,,,,1,,1000,2,,,1,2,,3,2,1,,,
39697,,10,3,,300,1,5,,,8,600,2,,,3,,,2,2,2,2,2,2
39961,7,,,4,400,1,,3,,2,1000,1,,3,2,,,2,1,2,2,2,1
50135,,4,4,,150,1,,8,,4,500,1,,4,3,,,4,2,2,2,2,1
50232,,,,,,,,,0,,,2,,,2,,,5,5,2,2,2,2
50274,,,2,,250,1,,2,,6,100,1,,6,2,,,2,2,2,2,1,
50281,8,,2,,200,1,,8,,4,300,2,,,2,,,4,2,2,2,1,
50537,,,,,,,,,2,,600,2,,,3,,,3,3,2,2,1,
50757,,,,10,500,1,3,,1,,500,1,,3,3,,,3,1,2,1,,
51351,,,4,,50,1,2,,4,,250,2,,,1,3,,3,3,2,2,2,2
51444,,,5,,300,1,4,,0,,,1,,2,1,1,100000,2,1,2,2,2,2
51467,,,,,,,,,1,,800,1,,1,3,,,3,2,2,2,2,2
51544,,,3,,150,1,3,,,6,500,1,1,,1,1,100000,4,2,2,1,,
51719,,,3,,200,2,,,2,,200,1,,10,2,,,2,1,2,2,2,1
51733,,3,,,,,,,1,,1000,1,,2,2,,,3,2,2,2,2,2
51792,,,0,,,2,,,,11,100,2,,,2,,,1,3,1,,,
51900,,,,4,400,2,,,2,,500,1,,3,1,3,,3,2,2,2,2,1
51908,,,4,,250,1,,2,,3,350,2,,,1,3,,1,2,1,,,
52400,,,,,,,,,,,,,,,,,,,,2,2,2,2
52455,,,4,,150,1,1,,,1,6000,2,,,3,,,2,3,2,2,1,
52700,,,3,,250,2,,,,4,300,2,,,3,,,3,2,2,2,1,
52718,,,2,,200,2,,,2,,200,2,,,3,,,3,4,1,,,
52733,,,2,,200,2,,,,5,150,2,,,2,,,2,3,2,2,2,1
52985,,5,7,,200,1,3,,,6,150,1,,2,3,,,2,1,2,2,2,2
53008,,,,,,,,,6,,200,2,,,1,1,103000,4,3,2,2,2,2
53028,,,2,,300,2,,,0,,,2,,,3,,,3,3,1,,,
53081,,,4,,200,2,,,,2,1000,1,,2,3,,,4,3,2,2,1,
53085,,,3,,250,1,4,,,2,500,1,,2,2,,,3,3,2,2,2,1
53086,,2,4,,300,1,2,,0,,,1,,10,1,3,,3,2,1,,,
53108,,,5,,200,1,4,,,4,500,1,,2,2,,,2,3,2,1,,
53109,,,2,,150,2,,,0,,,1,,1,3,,,4,4,2,2,1,
53202,,,4,,300,1,3,,0,,,2,,,3,,,3,3,1,,,
53234,,,3,,250,1,2,,1,,200,2,,,2,,,2,1,1,,,
53380,,,,,,,,,,,,,,,,,,,,2,2,2,2
53381,,,3,,250,2,,,,9,300,2,,,2,,,4,2,2,2,1,
53520,,,3,,150,1,6,,1,,1400,1,,8,1,2,,1,2,2,2,1,
53564,1,,1,,250,1,,1,4,,400,1,,3,1,1,100000,1,2,2,2,1,
53596,1,,2,,250,1,4,,0,,,2,,,1,3,,2,2,2,2,2,2
53666,3,,,,,,,,2,,100,2,,,3,,,1,3,2,2,2,2
53741,,,,,,,,,2,,200,2,,,2,,,3,1,2,1,,
53871,,,0,,,1,5,,2,,300,2,,,2,,,4,3,2,2,2,1
53997,,5,4,,250,2,,,1,,1000,2,,,3,,,3,2,1,,,
54279,10,,3,,250,1,2,,0,,,1,1,,3,,,4,2,2,2,2,2
54588,3,,2,,250,1,4,,0,,,2,,,3,,,2,1,1,,,
54694,,,,,,,,,1,,800,1,2,,3,,,3,3,2,2,1,
54949,0,,5,,250,1,1,,0,,,1,,5,1,1,100000,4,2,2,2,2,2
55094,,,10,,500,2,,,0,,,2,,,1,3,,3,2,1,,,
55104,,,,4,200,2,,,,5,200,2,,,2,,,3,3,2,2,2,2
55300,,,,,,,,,,,,,,,,,,,,2,2,2,2
55308,,,,,,,,,,,,,,,,,,,,1,,,
55349,,,,,,,,,,,,,,,,,,,,2,2,2,1
55430,,5,3,,300,1,,3,,3,1200,1,,7,1,3,,2,1,2,1,,
56251,,,,,,,,,,,,,,,,,,,,2,2,2,2
56465,,,,,,,,,,,,,,,,,,,,1,,,
