nquest,nord,figl,nfigl,altrf,desf1,desf2,motnf1,motnf2,motnf3,HAPPY
51651,1,,,,,,,,,8
51651,2,,,,,,,,,
51651,3,,,,,,,,,
51651,4,,,,,,,,,
51895,1,,,,,,,,,9
51895,2,,,,,,,,,
52478,1,,,,,,,,,7
52478,2,1,2,,1,,,,,
52478,3,,,,,,,,,
52478,4,,,,,,,,,
52505,1,,,,,,,,,7
52505,2,1,2,3,,,,,,
52505,3,,,,,,,,,
52505,4,,,,,,,,,
52716,1,,,,,,,,,7
52716,2,,,,,,,,,
52736,1,2,,4,,,,,,7
52736,2,,,,,,,,,
52736,3,,,,,,,,,
52736,4,,,,,,,,,
53006,1,,,,,,,,,8
53006,2,,,,,,,,,
53225,1,,,,,,,,,7
53225,2,,,,,,,,,
53225,3,,,,,,,,,
53225,4,,,,,,,,,
53373,1,,,,,,,,,8
53373,2,,,,,,,,,
53373,3,,,,,,,,,
53413,1,,,,,,,,,8
53413,2,1,2,3,,,,,,
53413,3,,,,,,,,,
53549,1,,,,,,,,,7
53549,2,1,2,,1,,,,,
53549,3,,,,,,,,,
53552,1,1,3,,1,,,,,7
53552,2,,,,,,,,,
53751,1,1,1,5,,,9,99,,7
53751,2,,,,,,,,,
53751,3,,,,,,,,,
53849,1,,,,,,,,,8
53849,2,1,2,,2,,1,99,,
53849,3,,,,,,,,,
54143,1,,,,,,,,,8
54143,2,,,,,,,,,
54152,1,,,,,,,,,7
54683,1,,,,,,,,,7
54683,2,,,,,,,,,
54684,1,,,,,,,,,7
54763,1,,,,,,,,,9
54763,2,1,2,3,,,,,,
54763,3,2,,2,,,,,,
54763,4,,,,,,,,,
55147,1,,,,,,,,,7
55147,2,1,2,,1,,,,,
55209,1,,,,,,,,,6
55333,1,,,,,,,,,9
55333,2,,,,,,,,,
55333,3,,,,,,,,,
55333,4,,,,,,,,,
55333,5,,,,,,,,,
55342,1,,,,,,,,,8
55342,2,,,,,,,,,
55342,3,,,,,,,,,
55425,1,,,,,,,,,8
55425,2,,,,,,,,,
55636,1,,,,,,,,,8
55636,2,1,3,,1,,,,,
55636,3,,,,,,,,,
55636,4,,,,,,,,,
55636,5,,,,,,,,,
55636,6,,,,,,,,,
55774,1,1,3,,1,,,,,5
55774,2,,,,,,,,,
55774,3,,,,,,,,,
55799,1,,,,,,,,,8
55799,2,,,,,,,,,
55799,3,,,,,,,,,
55799,4,,,,,,,,,
56262,1,,,,,,,,,7
56270,1,,,,,,,,,7
56270,2,1,4,,1,,,,,
56270,3,,,,,,,,,
56270,4,,,,,,,,,
56563,1,,,,,,,,,2
56563,2,,,,,,,,,
56563,3,,,,,,,,,
56572,1,,,,,,,,,8
56572,2,,,,,,,,,
56575,1,,,,,,,,,9
56575,2,,,,,,,,,
56577,1,,,,,,,,,10
56577,2,1,2,,1,,,,,
56582,1,1,1,5,,,10,99,,9
56582,2,,,,,,,,,
56582,3,,,,,,,,,
56608,1,,,,,,,,,7
56608,2,1,2,,1,,,,,
56608,3,,,,,,,,,
56608,4,,,,,,,,,
56632,1,,,,,,,,,10
56680,1,,,,,,,,,9
56680,2,,,,,,,,,
56721,1,1,2,,2,,1,9,99,10
56721,2,,,,,,,,,
56721,3,,,,,,,,,
56721,4,,,,,,,,,
56721,5,2,,2,,,,,,
56761,1,,,,,,,,,9
56761,2,1,1,,2,,9,99,,
56761,3,,,,,,,,,
56761,4,1,2,3,,,,,,
56761,5,,,,,,,,,
56761,6,,,,,,,,,
56762,1,,,,,,,,,6
56762,2,1,1,,2,,9,99,,
56762,3,,,,,,,,,
56765,1,,,,,,,,,8
56765,2,,,,,,,,,
56765,3,,,,,,,,,
57043,1,1,2,,1,,,,,5
57043,2,,,,,,,,,
57043,3,,,,,,,,,
57043,4,,,,,,,,,
57138,1,,,,,,,,,10
57138,2,,,,,,,,,
57138,3,,,,,,,,,
57138,4,,,,,,,,,
57217,1,,,,,,,,,6
57217,2,,,,,,,,,
57546,1,,,,,,,,,6
57546,2,,,,,,,,,
57546,3,,,,,,,,,
57609,1,,,,,,,,,8
57609,2,,,,,,,,,
57609,3,,,,,,,,,
57616,1,,,,,,,,,8
57616,2,1,1,,2,,1,99,,
57621,1,1,3,,1,,,,,9
57621,2,,,,,,,,,
57621,3,,,,,,,,,
57670,1,1,1,,2,,9,7,99,7
57670,2,,,,,,,,,
57670,3,,,,,,,,,
57670,4,,,,,,,,,
58042,1,1,1,,1,,,,,5
58042,2,,,,,,,,,
60078,1,,,,,,,,,10
60078,2,1,3,3,,,,,,
60078,3,,,,,,,,,
