nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,pubblico,dimaz,oretot,pstra,orestra,ylm,integ,ylnm,nattivita
38495,1,1,1,1,1,1,12,2,5,40,2,,20000,2,0,1
38495,2,2,1,1,1,1,12,1,,24,2,,21000,2,0,1
38554,1,1,1,1,1,1,12,2,4,40,2,,15000,2,0,1
38877,1,1,1,1,1,1,12,2,7,40,2,,24050,2,0,1
38909,2,2,1,1,1,1,12,1,,25,2,,15600,2,0,1
38913,2,2,1,1,1,1,12,1,,38,1,3,14000,2,0,1
38939,3,1,2,1,1,1,12,2,2,55,2,,16000,2,0,1
38967,2,1,1,1,1,1,12,1,,40,2,,24000,2,0,1
38977,2,1,1,1,2,1,12,2,1,40,2,,13000,2,0,1
38992,1,1,1,2,2,2,9,2,6,14,2,,6000,2,0,1
39055,3,3,1,1,1,1,12,2,4,40,2,,15400,2,0,1
39056,1,1,1,1,1,1,12,1,,36,2,,24000,1,1800,1
39056,2,2,1,2,1,1,12,1,,28,2,,11000,2,0,1
39058,3,3,1,1,1,1,12,2,6,40,2,,15000,2,0,1
39284,3,1,1,1,1,1,12,1,,28,2,,16000,2,0,1
39317,1,1,1,1,1,1,12,2,6,45,1,6,23100,2,0,1
39317,2,1,1,1,1,1,12,1,,40,2,,17990,2,0,1
39436,3,3,1,1,1,1,12,2,2,38,2,,14300,2,0,1
39485,1,1,1,1,1,1,12,1,,18,1,1,22000,2,0,1
39485,2,1,1,1,1,1,12,1,,18,1,2,18000,2,0,1
39488,3,1,1,1,1,1,12,1,,40,2,,15200,2,0,1
39581,1,1,1,1,1,1,12,1,,40,2,,17000,2,0,1
39697,2,1,1,1,1,1,12,1,,45,2,,13000,2,0,1
39907,2,1,1,1,1,1,12,1,,40,2,,19000,2,0,1
39961,1,1,1,1,1,1,12,2,2,40,2,,19000,2,0,1
50060,1,1,1,1,1,1,12,1,,36,2,,26000,2,0,1
50060,3,1,1,2,2,2,11,2,1,20,2,,6000,2,0,1
50085,2,1,1,1,2,1,12,2,2,36,2,,13000,2,0,1
50150,2,1,1,1,1,1,12,1,,40,1,2,15028,2,0,1
50150,3,1,1,1,1,1,12,2,2,42,1,1,11520,2,0,1
50231,2,1,1,1,1,1,12,2,2,36,2,,12000,2,0,1
50274,1,1,1,1,1,1,12,2,5,40,2,,16660,2,0,1
50274,2,1,1,1,1,1,12,2,5,40,2,,13720,2,0,1
50281,4,1,1,1,1,1,12,2,2,40,2,,11000,2,0,1
50537,1,1,1,1,1,1,12,1,,30,2,,15700,2,0,1
50618,3,1,1,1,1,1,12,2,2,40,2,,14000,2,0,1
50618,4,1,1,1,1,1,12,1,,35,2,,17000,2,0,1
