nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
23865,1,0,0,26000,0,0,0,0,0,0,26000,0,0,26000,0,0,6000,6000,26.174918788,0,0,0,26.174918788,6026.1749188,32026.174919,0,0
23865,4,13000,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0
23986,1,0,0,9750,0,0,0,0,0,0,9750,0,0,9750,0,0,6000,6000,0,0,0,0,0,6000,15750,0,0
24010,1,0,0,20150,0,0,0,0,0,0,20150,0,0,20150,0,0,6000,6000,0,0,0,0,0,6000,26150,0,0
24080,1,19000,0,0,0,0,0,0,0,19000,0,0,0,0,0,0,18000,18000,174.034,0,0,624.9936,-450.9596,17549.0404,36549.0404,0,0
24080,2,24000,1050,0,0,0,0,0,0,25050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25050,0,0
24085,1,0,0,7540,300,0,0,0,0,0,7840,0,0,7840,0,0,7200,7200,522.102,0,0,0,522.102,7722.102,15562.102,0,0
24147,1,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,14000,30000,44000,382.8748,1110.0408984,1086.8125,0,2579.7281984,46579.728198,67379.728198,0,0
24147,2,21000,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,0
24149,1,0,0,6890,0,0,0,0,0,0,6890,0,0,6890,0,0,0,0,12.18238,0,0,0,12.18238,12.18238,6902.18238,0,0
24158,1,0,0,12090,0,0,0,0,0,0,12090,0,0,12090,0,0,3600,3600,31.32612,0,0,0,31.32612,3631.32612,15721.32612,0,0
24171,1,0,0,11960,300,0,0,0,0,0,12260,0,0,12260,7000,0,4200,4200,17.4034,0,0,0,17.4034,4217.4034,23477.4034,7000,0
24194,1,23000,900,0,0,0,0,0,0,23900,0,0,0,0,0,0,6350,6350,60.9119,0,434.725,0,495.6369,6845.6369,30745.6369,0,0
24194,2,2300,0,0,0,0,0,0,0,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,0,0
24194,3,6300,0,0,0,0,0,0,0,6300,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,11300,5000,0
24194,4,0,0,0,0,0,0,500,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0,0,500,0,0
24195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,226.2442,0,0,0,226.2442,3826.2442,3826.2442,0,0
24195,2,0,0,14300,0,0,0,0,0,0,14300,0,0,14300,0,0,0,0,0,0,0,0,0,0,14300,0,0
24195,3,13000,800,0,0,0,0,0,0,13800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13800,0,0
24202,1,0,0,19320,0,750,0,0,0,0,19320,0,750,20070,0,0,8400,8400,312.30435091,0,0,0,312.30435091,8712.3043509,28782.304351,0,0
24312,1,25000,353.7056669,0,0,0,0,0,0,25353.705667,0,0,0,0,0,0,6000,6000,87.017,0,0,0,87.017,6087.017,31440.722667,0,0
24312,2,24000,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,0
24312,3,9000,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0
24322,1,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,0,250,250,234.9459,1521.5375,0,0,1756.4834,2006.4834,22806.4834,0,0
24322,3,13000,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0
24326,1,0,0,13260,0,0,0,0,0,0,13260,0,0,13260,0,0,7200,7200,113.1221,0,0,0,113.1221,7313.1221,20573.1221,0,0
24374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,4800,109.64142,0,1926.2918508,263.1552,1772.7780708,6572.7780708,6572.7780708,0,0
24374,2,13000,0,0,0,500,0,0,0,13000,0,0,500,500,0,0,0,0,0,0,0,0,0,0,13500,0,0
24374,3,13000,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0
