nquest,nopco,stupco,conpco,setpco,nomco,stumco,conmco,setmco
507556,,,,,,,,
507580,1,2,2,3,1,4,8,4
507594,1,1,1,1,1,1,9,
507596,1,2,1,4,1,2,1,4
507605,,,,,,,,
507615,,,,,,,,
507638,,,,,,,,
507644,1,1,1,1,1,1,1,1
507656,,,,,,,,
507675,1,1,1,3,1,1,9,
507693,,,,,,,,
507702,,,,,,,,
507728,2,,,,1,7,9,
507750,1,4,2,2,1,4,9,
507752,1,4,3,3,1,2,9,
507823,,,,,,,,
507863,,,,,,,,
507905,1,2,1,2,1,2,9,
508240,2,,,,2,,,
508305,,,,,,,,
508505,,,,,,,,
508922,1,2,1,2,1,2,9,
508926,1,1,1,1,1,1,9,
509003,1,2,8,4,1,2,9,
509005,1,3,1,3,1,2,9,
509006,,,,,,,,
509054,1,1,8,1,1,1,9,
509057,1,1,8,1,1,1,8,1
509069,1,1,2,2,1,1,9,
509071,1,3,8,4,1,2,9,
509074,1,2,8,4,1,1,9,
509076,1,2,1,4,1,2,9,
509120,1,2,1,2,1,2,9,
509139,1,2,1,4,1,1,9,
509550,1,3,2,4,1,2,9,
509695,1,2,1,4,1,2,9,
509710,1,2,2,4,1,2,9,
509808,,,,,,,,
509889,1,1,1,4,1,1,9,
509990,,,,,,,,
509997,2,,,,2,,,
510097,1,2,1,1,1,2,9,
510231,1,1,1,4,1,1,9,
510239,1,3,8,4,1,2,9,
510244,1,2,9,,1,1,9,
510245,1,2,9,,1,2,9,
510329,1,1,1,1,1,1,9,
510344,,,,,,,,
510433,1,3,2,3,1,1,9,
510437,1,1,9,,1,1,9,
510439,1,2,8,1,1,2,9,
510515,1,1,1,1,1,1,9,
510555,1,2,1,1,1,2,9,
510587,,,,,,,,
510984,1,2,1,2,1,2,9,
511074,1,7,8,1,1,7,8,1
511103,,,,,,,,
511116,,,,,,,,
511130,1,1,8,1,1,1,9,
511165,1,2,1,3,1,2,9,
511166,,,,,,,,
511170,2,,,,2,,,
511315,1,1,1,2,1,1,9,
511342,,,,,,,,
511352,1,1,1,1,1,1,9,
511367,1,1,1,1,1,1,9,
511419,,,,,,,,
511424,1,2,9,,1,2,9,
511435,1,3,9,,1,2,9,
511438,,,,,,,,
511474,2,,,,2,,,
511489,2,,,,2,,,
511491,2,,,,2,,,
511495,2,,,,2,,,
511500,2,,,,2,,,
511501,2,,,,2,,,
511624,2,,,,2,,,
512211,,,,,,,,
512406,1,1,1,1,1,1,9,
512411,2,,,,2,,,
512417,,,,,,,,
512420,2,,,,2,,,
512452,1,1,1,1,1,1,9,
512574,2,,,,2,,,
512704,2,,,,2,,,
512768,1,2,8,1,1,2,9,
512784,1,2,1,2,1,3,9,
512807,,,,,,,,
512843,1,2,1,4,1,1,9,
512846,,,,,,,,
512849,2,,,,2,,,
512858,2,,,,2,,,
512884,2,,,,2,,,
512897,,,,,,,,
512921,1,2,8,4,1,2,9,
512930,1,1,1,2,2,,,
512940,1,1,1,1,1,1,9,
512941,1,2,8,4,1,1,9,
512944,2,,,,2,,,
512963,1,3,1,4,1,2,9,
512997,1,2,1,2,1,2,9,
513053,1,2,1,1,1,2,1,1
513064,1,2,1,1,1,2,9,
513140,,,,,,,,
513329,1,1,9,,1,1,9,
513330,1,1,9,,1,1,9,
513369,1,2,1,4,1,2,9,
513377,,,,,,,,
513384,1,3,8,4,1,2,9,
513386,1,2,1,2,1,2,1,2
513388,,,,,,,,
513430,1,2,8,4,1,2,9,
513449,1,3,8,4,1,3,9,
610375,1,1,1,4,1,1,9,
610398,,,,,,,,
610725,2,,,,2,,,
610802,1,2,1,1,1,1,9,
610980,1,4,9,,1,4,10,
611113,,,,,,,,
611412,1,3,7,2,1,4,3,3
611441,1,2,2,3,1,2,9,
611453,,,,,,,,
611614,2,,,,2,,,
611699,,,,,,,,
611747,2,,,,2,,,
612011,1,4,6,4,1,2,9,
612234,1,2,8,4,1,2,9,
612269,,,,,,,,
612483,,,,,,,,
613488,1,2,1,4,1,2,9,
613605,,,,,,,,
613621,,,,,,,,
613697,,,,,,,,
614068,,,,,,,,
614094,1,2,9,,1,2,9,
614660,,,,,,,,
614783,,,,,,,,
615309,1,2,1,2,1,2,9,
615505,2,,,,2,,,
615662,1,4,10,,1,2,10,
615986,1,2,1,1,1,1,9,
616016,1,2,1,1,1,2,1,4
616032,1,2,1,1,1,2,1,1
617231,2,,,,2,,,
617398,1,5,5,4,1,5,3,4
617436,,,,,,,,
617902,1,4,4,2,1,4,4,4
618079,1,2,1,2,1,1,1,2
618164,1,4,2,4,1,3,9,
618238,,,,,,,,
618272,1,1,1,1,1,1,1,1
618755,2,,,,2,,,
619060,,,,,,,,
619106,2,,,,2,,,
619126,,,,,,,,
619170,,,,,,,,
619396,2,,,,2,,,
619457,1,1,1,2,1,1,9,
620179,,,,,,,,
620481,1,5,6,4,1,4,9,
620503,1,1,1,1,1,1,1,1
620593,,,,,,,,
620805,1,2,1,1,1,2,1,1
621136,,,,,,,,
621735,1,1,1,2,1,1,9,
621773,1,3,8,4,1,2,8,4
621999,,,,,,,,
622034,2,,,,2,,,
622228,1,2,1,1,1,2,1,1
622306,,,,,,,,
622707,1,2,1,1,1,2,9,
622717,,,,,,,,
622915,1,3,9,,1,2,9,
623277,1,2,1,1,1,2,9,
623300,1,2,1,2,1,2,9,
623606,1,2,1,2,1,2,9,
623651,2,,,,2,,,
624389,,,,,,,,
624713,2,,,,1,1,1,1
624744,1,3,4,3,1,2,9,
624804,1,2,8,1,1,2,8,1
625257,2,,,,2,,,
625536,1,2,1,2,1,2,9,
625538,1,2,1,2,1,2,9,
625694,1,2,1,4,1,2,9,
625803,1,2,1,2,1,2,9,
625926,1,3,8,4,1,2,9,
626001,1,2,10,,1,2,9,
626030,,,,,,,,
626178,1,2,2,3,1,1,9,
626189,,,,,,,,
626240,1,2,1,1,1,2,9,
626310,1,2,8,4,1,2,8,4
626312,,,,,,,,
626449,1,2,8,1,1,2,8,1
626680,,,,,,,,
626688,1,2,1,2,1,2,1,2
626892,2,,,,2,,,
627052,1,1,1,1,1,1,9,
627067,1,1,8,4,1,1,9,
627096,1,2,1,3,1,2,9,
627314,1,3,8,4,1,2,9,
627479,2,,,,2,,,
627797,1,2,1,4,1,2,9,
627842,2,,,,2,,,
628091,,,,,,,,
628193,2,,,,2,,,
629458,2,,,,2,,,
629488,1,2,8,4,1,2,9,
629492,,,,,,,,
629518,,,,,,,,
629542,2,,,,2,,,
629984,,,,,,,,
630008,,,,,,,,
630435,,,,,,,,
630512,1,2,1,2,1,2,9,
631016,1,2,7,4,1,2,9,
631019,,,,,,,,
631306,1,2,8,4,1,2,9,
631712,1,1,8,4,1,1,9,
631796,1,2,1,3,1,2,1,3
631981,1,1,8,1,1,1,9,
632021,,,,,,,,
632078,1,3,1,4,1,3,9,
632118,1,2,9,,1,2,9,
632270,2,,,,2,,,
633412,1,2,1,2,1,2,9,
633941,,,,,,,,
634144,1,2,1,2,1,2,9,
634481,2,,,,2,,,
634743,,,,,,,,
634810,1,2,1,2,1,2,8,4
634847,1,2,1,2,1,2,9,
634985,1,2,1,4,1,2,9,
635258,,,,,,,,
635263,1,2,1,2,1,2,1,2
635334,1,2,1,2,1,2,9,
635346,1,2,1,2,1,2,9,
635443,,,,,,,,
635484,,,,,,,,
635513,1,2,8,1,1,2,9,
636206,2,,,,2,,,
636237,1,2,1,2,1,2,9,
636258,,,,,,,,
636277,1,2,1,1,1,2,9,
636304,,,,,,,,
636401,1,2,2,3,1,1,9,
636407,1,1,1,1,1,1,1,1
636558,,,,,,,,
636856,,,,,,,,
636941,1,2,1,2,1,2,8,4
637009,1,2,1,2,1,2,9,
637242,,,,,,,,
637537,1,2,1,4,1,2,9,
637701,1,1,1,1,1,1,9,
638225,1,2,1,4,1,2,9,
638250,2,,,,2,,,
638339,1,2,1,4,1,2,1,4
638395,1,5,4,4,1,3,9,
638423,1,2,1,4,1,2,9,
638508,1,2,1,1,1,2,9,
638603,1,7,2,3,1,3,9,
638670,,,,,,,,
638718,1,3,1,2,1,3,8,4
638769,,,,,,,,
638783,1,2,1,2,1,2,1,4
638863,,,,,,,,
639067,,,,,,,,
639089,,,,,,,,
639129,,,,,,,,
639369,,,,,,,,
639373,1,1,8,1,1,1,8,1
639591,1,1,1,1,1,1,9,
639924,1,2,1,2,2,,,
640212,1,2,8,4,1,2,8,4
640220,,,,,,,,
640250,1,2,1,4,1,1,9,
640664,1,2,1,2,1,2,9,
640691,,,,,,,,
640775,1,1,1,4,1,1,9,
640790,,,,,,,,
641030,1,1,1,1,1,1,9,
641084,2,,,,2,,,
641491,1,2,1,1,1,2,9,
641624,,,,,,,,
641628,,,,,,,,
642007,,,,,,,,
648572,2,,,,2,,,
648636,,,,,,,,
648756,1,2,1,1,1,2,9,
648759,,,,,,,,
648841,1,2,1,1,1,2,9,
648853,,,,,,,,
648863,,,,,,,,
648876,2,,,,2,,,
648888,1,3,8,4,1,3,8,4
649015,1,3,1,2,1,3,1,2
649061,1,2,1,5,1,2,9,
649063,1,2,1,2,1,2,9,
649067,1,2,8,5,1,2,9,
649071,1,1,1,5,1,1,9,
649167,1,1,8,1,1,1,9,
649207,1,1,8,4,1,1,9,
649224,2,,,,2,,,
649375,2,,,,2,,,
649393,2,,,,2,,,
650023,1,2,9,,1,2,9,
650027,,,,,,,,
650048,1,2,2,4,1,2,9,
650079,,,,,,,,
650091,1,2,1,1,1,2,8,4
670225,1,2,1,4,1,2,1,2
670362,1,1,9,,1,2,9,
670565,1,2,3,3,1,2,9,
670652,,,,,,,,
670668,2,,,,2,,,
670670,1,2,1,1,1,1,9,
670696,1,2,1,2,1,3,9,
670711,,,,,,,,
670762,,,,,,,,
670857,1,2,1,1,1,2,9,
670876,1,2,1,2,1,2,9,
671023,,,,,,,,
671104,2,,,,2,,,
671105,,,,,,,,
671135,,,,,,,,
671197,,,,,,,,
671200,1,1,1,1,1,1,1,1
671206,1,4,2,3,1,4,3,4
671244,1,2,1,4,1,2,9,
671296,,,,,,,,
671300,2,,,,2,,,
671362,,,,,,,,
671372,1,2,8,4,1,2,8,4
671408,,,,,,,,
671480,1,2,1,4,1,2,1,4
671568,,,,,,,,
671732,1,1,8,1,1,1,9,
671733,1,2,8,4,1,2,8,4
671838,1,3,2,3,1,2,9,
671841,1,2,2,3,1,2,9,
671897,,,,,,,,
671904,2,,,,2,,,
671978,1,1,1,2,1,1,9,
672032,2,,,,1,1,9,
672063,2,,,,2,,,
672065,1,4,3,3,1,2,9,
672188,1,2,8,1,1,2,9,
672193,1,7,1,2,1,2,9,
672228,1,2,1,2,1,2,9,
672301,2,,,,1,2,9,
672348,1,2,1,3,1,2,9,
672351,1,1,1,1,1,1,1,1
672365,2,,,,2,,,
672369,1,1,1,3,1,1,9,
672410,2,,,,2,,,
672430,2,,,,2,,,
672486,1,2,1,1,1,2,1,4
672530,,,,,,,,
672541,1,3,2,2,1,3,9,
672572,1,2,7,4,1,2,9,
672575,,,,,,,,
672580,1,2,1,2,1,2,1,3
672599,2,,,,2,,,
672640,1,3,1,4,1,2,9,
672652,,,,,,,,
672683,,,,,,,,
672687,1,2,1,3,1,2,9,
672728,,,,,,,,
672729,,,,,,,,
672760,1,2,1,2,1,2,9,
672813,,,,,,,,
672864,,,,,,,,
672872,1,2,1,1,1,2,9,
672943,1,1,1,1,1,1,1,1
672949,,,,,,,,
672978,1,2,8,1,1,2,9,
672985,1,1,1,5,1,1,1,5
673005,,,,,,,,
673032,,,,,,,,
