nquest,servb1,servb2,servb3,servb4,servb5,servb6,servb7,servb8,servb9,servb10,servb11,servb12,servb13,servb14,depc,ndepc,idepc,lib,nlib,ilib,unaban,banche,scoper,fscoper1,fscoper,carta,carte,usocart,cartdeb1,cartdeb,bancomat,nbancoma,cartapre,ncartapre,scorta,spesecon,compusa,compcasa,internet,ebuy,coldis,utscoper
27742,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,,,2,,,,,2,,2,,300,600,1,1,1,2,2,
27744,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,3,,,2,,,,,2,,2,,200,700,2,,,,2,
27881,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,3,,,2,,,,,1,1,2,,150,450,2,,,,2,
27912,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,2,,,2,2,2,,,2,,,,,1,3,2,,500,2700,2,,,,2,
27923,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,2,2,2,,,1,1,1,,,1,2,2,,500,1600,1,1,1,2,2,
27930,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,500,2000,2,,,,2,
27947,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,400,1200,2,,,,2,
28100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,1,1,2,,,1,1,2,,500,1500,1,1,1,2,2,2
28221,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,2,,,,,1,1,2,,500,1100,2,,,,2,2
28331,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,,,1,1,3,,,2,,,,,2,,2,,300,500,2,,,,2,
28346,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,300,500,2,,,,2,
28362,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,50,2000,2,,,,2,
28441,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,2,2,3,2,,,2,,,,,1,1,2,,500,1300,1,2,1,2,2,
28766,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,3,1,1,,1,1,3,,,2,,,,,1,2,2,,500,1300,1,1,1,2,2,
28802,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1,2,3,1,1,1,,,2,,,,,1,2,2,,300,900,1,1,1,1,1,2
28859,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,400,1200,2,,,,2,
28897,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,,1,1,3,,,1,1,2,,,1,1,2,,200,1050,2,,,,2,
28920,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,300,600,1,1,1,2,2,
28992,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,2,2,,,2,2,1,,,2,,,,,1,1,2,,250,1500,2,,,,2,2
29006,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,1,2,,,1,1,2,,200,1500,1,1,1,2,2,2
29140,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,2,,,2,,,,,1,2,2,,700,1000,2,,,,2,
29280,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,1,2,2,,,1,2,2,,500,800,1,1,1,2,2,2
29286,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,300,540,2,,,,2,
29288,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,400,1500,2,,,,2,
29362,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,150,1000,2,,,,2,
29678,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,350,500,2,,,,2,
29680,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,2,,,1,1,2,,,1,1,2,,200,600,1,1,1,1,1,
29684,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,2,2,2,,,1,1,2,,,1,1,2,,250,300,1,1,1,1,1,
29687,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,600,1200,1,1,1,2,2,
29737,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,2,2,,,2,2,3,,,1,2,2,,,1,1,2,,2500,2500,1,1,1,2,1,
29742,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,1,2000,2,,,,,2,,2,,400,2000,1,1,2,,2,1
29774,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,400,700,2,,,,2,
29798,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,2,,2,,500,1000,2,,,,2,2
29805,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,500,2000,2,,,,2,
